,Group name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
42,Schooling species,0,0,0,0,0,0,0.01142993,0,0,0,0.7419273,0,0.01440791,0.02716434,0.9712849,0,0.01712685,0.01768351,0.7966998,0.87181,0.03833972,0,1.39E-05,0,0,0,0,0.01731631,0,0,0.000441227,0.9697571,0.0165164,0.000162276,0.1707707,0.9524848,0.08361661,0.1821131,0.3118776,0.4142629,0.03739464,1,0,0.01542998,0,5.83E-05,0,0,0,0.08382166,7.06E-05,0,0,2.51E-05,0,0,0,0,0,0,0,0,1.56E-05,0,1.83E-06,0.002871529,1.26E-05,0.00105496,0,0,0,0
43,Leatherjackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8224627,0,0,0.1786659,0,0,0,0,0,0,0.9996958,0.9987388,0,0,0.9845004,0,0,0,0,0,1,0,0,0.2471532,0,0,0,0,0.9978493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222314,0,0,0,0,0,0,0
44,Other crabs,0,0,0,0,0,0,0.02565229,0,0,0,0.008975546,0,0.2660946,0.03427994,0.0265909,0,0.03467771,0.03455134,0.161707,0.03622828,0.1058741,0.02080751,0,0,0.09511337,0,0.04945343,0.03217589,0,0,0.02155591,0.01844256,0,0.000753343,0.01609879,0.008260339,4.28E-05,0.01986198,0.05369509,0.07836666,0.2099221,0.01542998,0,1,0.02771596,0,0.000701161,0,0.04907221,0.003202824,0.00472332,0,0.02239678,0.005773779,0.1343469,0.01829242,0,0,4.70E-06,0.01869823,0,0.004551395,0.006691425,0,0.01156175,0.00367486,0,0,0,0,0,0
45,Blue Swimmer Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8159755,0,0,0,0,0,0,0,0,0.006089081,0,0,0,0.004355703,0,0.001751468,0,0,0,0,0,0,0.02771596,1,0,0.02932296,0,0.1421619,0.000875599,0,0,0.000530585,0.000343078,0.001299754,0.146023,0,0,5.83E-05,0.06690586,0,0.03153308,7.73E-05,0,0.001748626,0,0,0,0,0,0,0
46,Mantis shrimp,0,0,0,0,0,0,0.000217538,0,0,0,0,0,0,0,0.000396456,0.2471538,0,0,0,0,0,0,0.2481303,0,0,0.06202597,0.008711042,0,0,0,0.002505956,0.000329215,0.2490308,0.2520107,0.02424767,0.000308587,0.2606889,0,0,9.63E-05,0.000598696,5.83E-05,0.2471532,0,0,1,5.73E-05,0,0,0.01476036,0.2519914,0,0.002679799,0.8428579,0,0,0.02119271,0,0.009610917,0.007700644,0.08216988,0.06936081,0.8996426,0,0.6066695,0,0,0,0.000203,0.001194568,0.02778212,0
47,Seastars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4044214,0,0.02562429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79E-05,0.2787982,0.516058,0,0,0,0,0.000701161,0.02932296,5.73E-05,1,0,0,0,0,0,0.004371929,0,0,0,0,0.9831268,0.000981429,0.9496446,0,0,0.009266061,0,0.04758086,0,0,0,0,0,0,0
48,Migratory waders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Seahorses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1697112,0,0,0,0.0504792,0,0,0,0.08172661,0,0,0,0,0,0,0,0,0.04907221,0.1421619,0,0,0,1,0.002420819,0.01519659,0,0.003197923,0.002168862,0.00799996,0.9231873,0,0,2.50E-06,0,0,0.1905725,0.002878664,0,0.02984468,0,0,0,0,0,0,0
50,Mullets,0,0,0,0,0,0,0.004489537,0,0,0,0.06667174,0,0.004868265,0.01107591,0.0855134,0,0.000360041,0.000380732,0.06805809,0.07398746,0.03628806,0,0.4643831,0,0,0.9790998,0.5097222,0.000386585,0,0,0.1554867,0.08722992,0.001489424,0.02436041,0.9233792,0.08555248,0.07129443,0.009317482,0.02181573,0.02932593,0.01620938,0.08382166,0,0.003202824,0.000875599,0.01476036,0,0,0.002420819,0.9999999,3.50E-05,0,8.35E-06,1.86E-05,2.15E-05,0.002576334,0,0,0,0.000101749,0,0.6757498,0.009587754,0,0.03249289,0,0,0,0,0,0,0
51,Rabbitfish,0,0,0,0,0,0,8.21E-05,0,0,0,5.17E-05,0,0.001443509,0,0.00016655,0.9978496,6.06E-10,0,0.000934443,0.000159131,0.000756397,0,0.8341169,0,0,0.1795548,0.02115724,0,0,5.04E-06,0.006537119,0.000180197,0.9983565,0.9985322,0.006990924,7.35E-05,0.9888455,4.17E-05,9.66E-05,0.000127432,0.000154621,7.06E-05,0.9978493,0.00472332,0,0.2519914,0,0,0.01519659,3.50E-05,1,0,0,0,0,0,0,0,0,0,0,0,0.000375811,0,0.8413882,0,0,0,0,0,0,0
52,Introduced species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
