EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

year,fleet,group,value
2045,3,20,0.001855072
2045,3,41,0.4141415
2045,3,45,0.06329896
2046,1,22,1.039261
2046,2,7,0.002269678
2046,3,15,0.004043382
2046,3,20,0.001855072
2046,3,41,0.4141415
2046,3,45,0.06329896
2047,1,22,1.039261
2047,2,7,0.002269678
2047,3,15,0.004043382
2047,3,20,0.001855072
2047,3,41,0.4141415
2047,3,45,0.06329896
2048,1,22,1.039261
2048,2,7,0.002269678
2048,3,15,0.004043382
2048,3,20,0.001855072
2048,3,41,0.4141415
2048,3,45,0.06329896
2049,1,22,1.039261
2049,2,7,0.002269678
2049,3,15,0.004043382
2049,3,20,0.001855072
2049,3,41,0.4141415
2049,3,45,0.06329896
2050,1,22,1.039261
2050,2,7,0.002269678
2050,3,15,0.004043382
2050,3,20,0.001855072
2050,3,41,0.4141415
2050,3,45,0.06329896
2051,1,22,1.039261
2051,2,7,0.002269678
2051,3,15,0.004043382
2051,3,20,0.001855072
2051,3,41,0.4141415
2051,3,45,0.06329896
2052,1,22,1.039261
2052,2,7,0.002269678
2052,3,15,0.004043382
2052,3,20,0.001855072
2052,3,41,0.4141415
2052,3,45,0.06329896
2053,1,22,1.039261
2053,2,7,0.002269678
2053,3,15,0.004043382
2053,3,20,0.001855072
2053,3,41,0.4141415
2053,3,45,0.06329896
2054,1,22,1.039261
2054,2,7,0.002269678
2054,3,15,0.004043382
2054,3,20,0.001855072
2054,3,41,0.4141415
2054,3,45,0.06329896
2055,1,22,1.039261
2055,2,7,0.002269678
2055,3,15,0.004043382
2055,3,20,0.001855072
2055,3,41,0.4141415
2055,3,45,0.06329896
2056,1,22,1.039261
2056,2,7,0.002269678
2056,3,15,0.004043382
2056,3,20,0.001855072
2056,3,41,0.4141415
2056,3,45,0.06329896
2057,1,22,1.039261
2057,2,7,0.002269678
2057,3,15,0.004043382
2057,3,20,0.001855072
2057,3,41,0.4141415
2057,3,45,0.06329896
2058,1,22,1.039261
2058,2,7,0.002269678
2058,3,15,0.004043382
2058,3,20,0.001855072
2058,3,41,0.4141415
2058,3,45,0.06329896
2059,1,22,1.039261
2059,2,7,0.002269678
2059,3,15,0.004043382
2059,3,20,0.001855072
2059,3,41,0.4141415
2059,3,45,0.06329896
2060,1,22,1.039261
2060,2,7,0.002269678
2060,3,15,0.004043382
2060,3,20,0.001855072
2060,3,41,0.4141415
2060,3,45,0.06329896
2061,1,22,1.039261
2061,2,7,0.002269678
2061,3,15,0.004043382
2061,3,20,0.001855072
2061,3,41,0.4141415
2061,3,45,0.06329896
2062,1,22,1.039261
2062,2,7,0.002269678
2062,3,15,0.004043382
2062,3,20,0.001855072
2062,3,41,0.4141415
2062,3,45,0.06329896
2063,1,22,1.039261
2063,2,7,0.002269678
2063,3,15,0.004043382
2063,3,20,0.001855072
2063,3,41,0.4141415
2063,3,45,0.06329896
2064,1,22,1.039261
2064,2,7,0.002269678
2064,3,15,0.004043382
2064,3,20,0.001855072
2064,3,41,0.4141415
2064,3,45,0.06329896
2065,1,22,1.039261
2065,2,7,0.002269678
2065,3,15,0.004043382
2065,3,20,0.001855072
2065,3,41,0.4141415
2065,3,45,0.06329896
2066,1,22,1.039261
2066,2,7,0.002269678
2066,3,15,0.004043382
2066,3,20,0.001855072
2066,3,41,0.4141415
2066,3,45,0.06329896
2067,1,22,1.039261
2067,2,7,0.002269678
2067,3,15,0.004043382
2067,3,20,0.001855072
2067,3,41,0.4141415
2067,3,45,0.06329896
2068,1,22,1.039261
2068,2,7,0.002269678
2068,3,15,0.004043382
2068,3,20,0.001855072
2068,3,41,0.4141415
2068,3,45,0.06329896
2069,1,22,1.039261
2069,2,7,0.002269678
2069,3,15,0.004043382
2069,3,20,0.001855072
2069,3,41,0.4141415
2069,3,45,0.06329896
2070,1,22,1.039261
2070,2,7,0.002269678
2070,3,15,0.004043382
2070,3,20,0.001855072
2070,3,41,0.4141415
2070,3,45,0.06329896
2071,1,22,1.039261
2071,2,7,0.002269678
2071,3,15,0.004043382
2071,3,20,0.001855072
2071,3,41,0.4141415
2071,3,45,0.06329896
2072,1,22,1.039261
2072,2,7,0.002269678
2072,3,15,0.004043382
2072,3,20,0.001855072
2072,3,41,0.4141415
2072,3,45,0.06329896
2073,1,22,1.039261
2073,2,7,0.002269678
2073,3,15,0.004043382
2073,3,20,0.001855072
2073,3,41,0.4141415
2073,3,45,0.06329896
2074,1,22,1.039261
2074,2,7,0.002269678
2074,3,15,0.004043382
2074,3,20,0.001855072
2074,3,41,0.4141415
2074,3,45,0.06329896
2075,1,22,1.039261
2075,2,7,0.002269678
2075,3,15,0.004043382
2075,3,20,0.001855072
2075,3,41,0.4141415
2075,3,45,0.06329896
2076,1,22,1.039261
2076,2,7,0.002269678
2076,3,15,0.004043382
2076,3,20,0.001855072
2076,3,41,0.4141415
2076,3,45,0.06329896
2077,1,22,1.039261
2077,2,7,0.002269678
2077,3,15,0.004043382
2077,3,20,0.001855072
2077,3,41,0.4141415
2077,3,45,0.06329896
2078,1,22,1.039261
2078,2,7,0.002269678
2078,3,15,0.004043382
2078,3,20,0.001855072
2078,3,41,0.4141415
2078,3,45,0.06329896
2079,1,22,1.039261
2079,2,7,0.002269678
2079,3,15,0.004043382
2079,3,20,0.001855072
2079,3,41,0.4141415
2079,3,45,0.06329896
2080,1,22,1.039261
2080,2,7,0.002269678
2080,3,15,0.004043382
2080,3,20,0.001855072
2080,3,41,0.4141415
2080,3,45,0.06329896
2081,1,22,1.039261
2081,2,7,0.002269678
2081,3,15,0.004043382
2081,3,20,0.001855072
2081,3,41,0.4141415
2081,3,45,0.06329896
2082,1,22,1.039261
2082,2,7,0.002269678
2082,3,15,0.004043382
2082,3,20,0.001855072
2082,3,41,0.4141415
2082,3,45,0.06329896
2083,1,22,1.039261
2083,2,7,0.002269678
2083,3,15,0.004043382
2083,3,20,0.001855072
2083,3,41,0.4141415
2083,3,45,0.06329896
2084,1,22,1.039261
2084,2,7,0.002269678
2084,3,15,0.004043382
2084,3,20,0.001855072
2084,3,41,0.4141415
2084,3,45,0.06329896
2085,1,22,1.039261
2085,2,7,0.002269678
2085,3,15,0.004043382
2085,3,20,0.001855072
2085,3,41,0.4141415
2085,3,45,0.06329896
2086,1,22,1.039261
2086,2,7,0.002269678
2086,3,15,0.004043382
2086,3,20,0.001855072
2086,3,41,0.4141415
2086,3,45,0.06329896
2087,1,22,1.039261
2087,2,7,0.002269678
2087,3,15,0.004043382
2087,3,20,0.001855072
2087,3,41,0.4141415
2087,3,45,0.06329896
2088,1,22,1.039261
2088,2,7,0.002269678
2088,3,15,0.004043382
2088,3,20,0.001855072
2088,3,41,0.4141415
2088,3,45,0.06329896
2089,1,22,1.039261
2089,2,7,0.002269678
2089,3,15,0.004043382
2089,3,20,0.001855072
2089,3,41,0.4141415
2089,3,45,0.06329896
2090,1,22,1.039261
2090,2,7,0.002269678
2090,3,15,0.004043382
2090,3,20,0.001855072
2090,3,41,0.4141415
2090,3,45,0.06329896
2091,1,22,1.039261
2091,2,7,0.002269678
2091,3,15,0.004043382
2091,3,20,0.001855072
2091,3,41,0.4141415
2091,3,45,0.06329896
2092,1,22,1.039261
2092,2,7,0.002269678
2092,3,15,0.004043382
2092,3,20,0.001855072
2092,3,41,0.4141415
2092,3,45,0.06329896
2093,1,22,1.039261
2093,2,7,0.002269678
2093,3,15,0.004043382
2093,3,20,0.001855072
2093,3,41,0.4141415
2093,3,45,0.06329896
2094,1,22,1.039261
2094,2,7,0.002269678
2094,3,15,0.004043382
2094,3,20,0.001855072
2094,3,41,0.4141415
2094,3,45,0.06329896
2095,1,22,1.039261
2095,2,7,0.002269678
2095,3,15,0.004043382
2095,3,20,0.001855072
2095,3,41,0.4141415
2095,3,45,0.06329896
2096,1,22,1.039261
2096,2,7,0.002269678
2096,3,15,0.004043382
2096,3,20,0.001855072
2096,3,41,0.4141415
2096,3,45,0.06329896
2097,1,22,1.039261
2097,2,7,0.002269678
2097,3,15,0.004043382
2097,3,20,0.001855072
2097,3,41,0.4141415
2097,3,45,0.06329896
2098,1,22,1.039261
2098,2,7,0.002269678
2098,3,15,0.004043382
2098,3,20,0.001855072
2098,3,41,0.4141415
2098,3,45,0.06329896
2099,1,22,1.039261
2099,2,7,0.002269678
2099,3,15,0.004043382
2099,3,20,0.001855072
2099,3,41,0.4141415
2099,3,45,0.06329896
2100,1,22,1.039261
2100,2,7,0.002269678
2100,3,15,0.004043382
2100,3,20,0.001855072
2100,3,41,0.4141415
2100,3,45,0.06329896
2101,1,22,1.039261
2101,2,7,0.002269678
2101,3,15,0.004043382
2101,3,20,0.001855072
2101,3,41,0.4141415
2101,3,45,0.06329896
2102,1,22,1.039261
2102,2,7,0.002269678
2102,3,15,0.004043382
2102,3,20,0.001855072
2102,3,41,0.4141415
2102,3,45,0.06329896
2103,1,22,1.039261
2103,2,7,0.002269678
2103,3,15,0.004043382
2103,3,20,0.001855072
2103,3,41,0.4141415
2103,3,45,0.06329896
2104,1,22,1.039261
2104,2,7,0.002269678
2104,3,15,0.004043382
2104,3,20,0.001855072
2104,3,41,0.4141415
2104,3,45,0.06329896
2105,1,22,1.039261
2105,2,7,0.002269678
2105,3,15,0.004043382
2105,3,20,0.001855072
2105,3,41,0.4141415
2105,3,45,0.06329896
2106,1,22,1.039261
2106,2,7,0.002269678
2106,3,15,0.004043382
2106,3,20,0.001855072
2106,3,41,0.4141415
2106,3,45,0.06329896
2107,1,22,1.039261
2107,2,7,0.002269678
2107,3,15,0.004043382
2107,3,20,0.001855072
2107,3,41,0.4141415
2107,3,45,0.06329896
2108,1,22,1.039261
2108,2,7,0.002269678
2108,3,15,0.004043382
2108,3,20,0.001855072
2108,3,41,0.4141415
2108,3,45,0.06329896
2109,1,22,1.039261
2109,2,7,0.002269678
2109,3,15,0.004043382
2109,3,20,0.001855072
2109,3,41,0.4141415
2109,3,45,0.06329896
2110,1,22,1.039261
2110,2,7,0.002269678
2110,3,15,0.004043382
2110,3,20,0.001855072
2110,3,41,0.4141415
2110,3,45,0.06329896
2111,1,22,1.039261
2111,2,7,0.002269678
2111,3,15,0.004043382
2111,3,20,0.001855072
2111,3,41,0.4141415
2111,3,45,0.06329896
2112,1,22,1.039261
2112,2,7,0.002269678
2112,3,15,0.004043382
2112,3,20,0.001855072
2112,3,41,0.4141415
2112,3,45,0.06329896
2113,1,22,1.039261
2113,2,7,0.002269678
2113,3,15,0.004043382
2113,3,20,0.001855072
2113,3,41,0.4141415
2113,3,45,0.06329896
2114,1,22,1.039261
2114,2,7,0.002269678
2114,3,15,0.004043382
2114,3,20,0.001855072
2114,3,41,0.4141415
2114,3,45,0.06329896
2115,1,22,1.039261
2115,2,7,0.002269678
2115,3,15,0.004043382
2115,3,20,0.001855072
2115,3,41,0.4141415
2115,3,45,0.06329896
2116,1,22,1.039261
2116,2,7,0.002269678
2116,3,15,0.004043382
2116,3,20,0.001855072
2116,3,41,0.4141415
2116,3,45,0.06329896
2117,1,22,1.039261
2117,2,7,0.002269678
2117,3,15,0.004043382
2117,3,20,0.001855072
2117,3,41,0.4141415
2117,3,45,0.06329896
2118,1,22,1.039261
2118,2,7,0.002269678
2118,3,15,0.004043382
2118,3,20,0.001855072
2118,3,41,0.4141415
2118,3,45,0.06329896
2119,1,22,1.039261
2119,2,7,0.002269678
2119,3,15,0.004043382
2119,3,20,0.001855072
2119,3,41,0.4141415
2119,3,45,0.06329896
