EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
37,2,7,0.0001891398
37,3,15,0.0003369485
37,3,20,0.0001545894
37,3,41,0.03451179
37,3,45,0.005274914
38,1,22,0.08660508
38,2,7,0.0001891398
38,3,15,0.0003369485
38,3,20,0.0001545894
38,3,41,0.03451179
38,3,45,0.005274914
39,1,22,0.08660508
39,2,7,0.0001891398
39,3,15,0.0003369485
39,3,20,0.0001545894
39,3,41,0.03451179
39,3,45,0.005274914
40,1,22,0.08660508
40,2,7,0.0001891398
40,3,15,0.0003369485
40,3,20,0.0001545894
40,3,41,0.03451179
40,3,45,0.005274914
41,1,22,0.08660508
41,2,7,0.0001891398
41,3,15,0.0003369485
41,3,20,0.0001545894
41,3,41,0.03451179
41,3,45,0.005274914
42,1,22,0.08660508
42,2,7,0.0001891398
42,3,15,0.0003369485
42,3,20,0.0001545894
42,3,41,0.03451179
42,3,45,0.005274914
43,1,22,0.08660508
43,2,7,0.0001891398
43,3,15,0.0003369485
43,3,20,0.0001545894
43,3,41,0.03451179
43,3,45,0.005274914
44,1,22,0.08660508
44,2,7,0.0001891398
44,3,15,0.0003369485
44,3,20,0.0001545894
44,3,41,0.03451179
44,3,45,0.005274914
45,1,22,0.08660508
45,2,7,0.0001891398
45,3,15,0.0003369485
45,3,20,0.0001545894
45,3,41,0.03451179
45,3,45,0.005274914
46,1,22,0.08660508
46,2,7,0.0001891398
46,3,15,0.0003369485
46,3,20,0.0001545894
46,3,41,0.03451179
46,3,45,0.005274914
47,1,22,0.08660508
47,2,7,0.0001891398
47,3,15,0.0003369485
47,3,20,0.0001545894
47,3,41,0.03451179
47,3,45,0.005274914
48,1,22,0.08660508
48,2,7,0.0001891398
48,3,15,0.0003369485
48,3,20,0.0001545894
48,3,41,0.03451179
48,3,45,0.005274914
49,1,22,0.08660508
49,2,7,0.0001891398
49,3,15,0.0003369485
49,3,20,0.0001545894
49,3,41,0.03451179
49,3,45,0.005274914
50,1,22,0.08660508
50,2,7,0.0001891398
50,3,15,0.0003369485
50,3,20,0.0001545894
50,3,41,0.03451179
50,3,45,0.005274914
51,1,22,0.08660508
51,2,7,0.0001891398
51,3,15,0.0003369485
51,3,20,0.0001545894
51,3,41,0.03451179
51,3,45,0.005274914
52,1,22,0.08660508
52,2,7,0.0001891398
52,3,15,0.0003369485
52,3,20,0.0001545894
52,3,41,0.03451179
52,3,45,0.005274914
53,1,22,0.08660508
53,2,7,0.0001891398
53,3,15,0.0003369485
53,3,20,0.0001545894
53,3,41,0.03451179
53,3,45,0.005274914
54,1,22,0.08660508
54,2,7,0.0001891398
54,3,15,0.0003369485
54,3,20,0.0001545894
54,3,41,0.03451179
54,3,45,0.005274914
55,1,22,0.08660508
55,2,7,0.0001891398
55,3,15,0.0003369485
55,3,20,0.0001545894
55,3,41,0.03451179
55,3,45,0.005274914
56,1,22,0.08660508
56,2,7,0.0001891398
56,3,15,0.0003369485
56,3,20,0.0001545894
56,3,41,0.03451179
56,3,45,0.005274914
57,1,22,0.08660508
57,2,7,0.0001891398
57,3,15,0.0003369485
57,3,20,0.0001545894
57,3,41,0.03451179
57,3,45,0.005274914
58,1,22,0.08660508
58,2,7,0.0001891398
58,3,15,0.0003369485
58,3,20,0.0001545894
58,3,41,0.03451179
58,3,45,0.005274914
59,1,22,0.08660508
59,2,7,0.0001891398
59,3,15,0.0003369485
59,3,20,0.0001545894
59,3,41,0.03451179
59,3,45,0.005274914
60,1,22,0.08660508
60,2,7,0.0001891398
60,3,15,0.0003369485
60,3,20,0.0001545894
60,3,41,0.03451179
60,3,45,0.005274914
61,1,22,0.08660508
61,2,7,0.0001891398
61,3,15,0.0003369485
61,3,20,0.0001545894
61,3,41,0.03451179
61,3,45,0.005274914
62,1,22,0.08660508
62,2,7,0.0001891398
62,3,15,0.0003369485
62,3,20,0.0001545894
62,3,41,0.03451179
62,3,45,0.005274914
63,1,22,0.08660508
63,2,7,0.0001891398
63,3,15,0.0003369485
63,3,20,0.0001545894
