EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
21,0.05400282,0.05440485,0.008599869,0.08230027,0.1790486,0.03900129,1.321834,0.01900063,0.01016017,0.00206986,0.1290351,0.002809847,0.3198452,0.05188895,9.498028,3.437943,0.3448375,0.1864635,0.9491272,20.70131,7.153825,0.08659732,1.101425,0.09118568,0.1899915,0.2209853,0.897171,0.04387898,0.0005000423,6.773356,1.380104,0.2851538,0.8130269,3.078307,111.5961,0.1410109,0.8233452,23.61865,21.81073,6.865504,0.2969769,0.1929522,1.384479,0.8854682,0.4851032,0.09510291,0.1969946,0.0001000118,0.08259444,4.911744,14.32566,0.004003589,0.02631368,0.1209925,0.04920799,5.750167E-05,0.2698937,0.2274502,0.09514029,0.8385793,0.09718958,0.009887877,34.06056,0.0772069,16.24653,9.8514,21.35205,26.84609,66.15816,56.65128,39.34225,0.1234962,75.00867
22,0.05400296,0.05440513,0.008599859,0.08230023,0.1790512,0.03900134,1.321828,0.01900065,0.01016016,0.002069848,0.1290347,0.002809833,0.3198426,0.05188904,9.498089,3.437941,0.3448493,0.1864661,0.949138,20.70148,7.15382,0.08659723,1.101424,0.09118585,0.1899927,0.2209874,0.8971815,0.04387905,0.0005000448,6.773397,1.38011,0.2851503,0.8130285,3.078334,111.5965,0.1410112,0.8233575,23.61848,21.81061,6.865456,0.2969757,0.1929507,1.384497,0.8854795,0.4851088,0.09510256,0.1969956,0.0001000127,0.08259417,4.911764,14.32553,0.004003593,0.02631339,0.1209919,0.04920755,5.750143E-05,0.2698933,0.2274502,0.09513869,0.838614,0.09718937,0.009887825,34.06032,0.07720674,16.24625,9.851574,21.3518,26.84617,66.15667,56.65085,39.34194,0.1234953,75.00836
23,0.0540031,0.05440541,0.008599848,0.08230019,0.1790538,0.03900139,1.321822,0.01900067,0.01016015,0.002069835,0.1290339,0.002809819,0.31984,0.05188913,9.498148,3.43794,0.3448614,0.1864688,0.9491489,20.70164,7.153813,0.08659715,1.101422,0.09118612,0.1899939,0.2209892,0.8971915,0.04387903,0.0005000473,6.773437,1.380116,0.2851466,0.8130299,3.078357,111.5969,0.1410113,0.8233681,23.61834,21.81051,6.865413,0.2969746,0.1929493,1.384513,0.8854904,0.4851142,0.09510199,0.1969964,0.0001000136,0.08259393,4.911782,14.32536,0.004003603,0.0263131,0.120991,0.04920703,5.750128E-05,0.269893,0.2274503,0.09513705,0.8386444,0.09718925,0.009887781,34.06005,0.07720658,16.24595,9.851759,21.3515,26.84627,66.15524,56.65047,39.34164,0.1234948,75.00809
24,0.05400324,0.05440568,0.008599836,0.08230013,0.1790563,0.03900144,1.321815,0.01900069,0.01016014,0.002069822,0.1290327,0.002809805,0.3198375,0.05188922,9.498205,3.437939,0.3448737,0.1864716,0.9491599,20.70181,7.153806,0.08659708,1.101421,0.09118649,0.189995,0.2209907,0.8972006,0.04387892,0.0005000497,6.773474,1.380122,0.2851427,0.8130311,3.078377,111.5973,0.1410112,0.8233771,23.61821,21.81043,6.865375,0.2969735,0.1929482,1.384526,0.8855009,0.4851195,0.09510121,0.1969971,0.0001000145,0.08259371,4.911797,14.32514,0.00400362,0.02631281,0.12099,0.04920645,5.750122E-05,0.2698927,0.2274505,0.09513542,0.8386704,0.0971892,0.009887745,34.05974,0.07720643,16.24564,9.851955,21.35118,26.84639,66.15392,56.65013,39.34137,0.1234945,75.00786
25,0.05400338,0.05440596,0.008599825,0.08230008,0.1790588,0.03900148,1.321807,0.01900071,0.01016013,0.002069808,0.1290312,0.002809793,0.3198351,0.0518893,9.49826,3.437939,0.3448862,0.1864745,0.9491708,20.70197,7.153798,0.086597,1.101418,0.09118696,0.189996,0.2209918,0.897209,0.0438787,0.0005000521,6.773508,1.380127,0.2851386,0.8130321,3.078391,111.5977,0.1410111,0.8233846,23.61811,21.81037,6.865342,0.2969726,0.1929473,1.384538,0.885511,0.4851245,0.09510026,0.1969975,0.0001000153,0.08259353,4.91181,14.3249,0.004003643,0.02631254,0.1209887,0.04920584,5.750123E-05,0.2698923,0.2274508,0.09513385,0.8386917,0.09718923,0.009887717,34.05941,0.07720629,16.24534,9.852165,21.35083,26.84652,66.15275,56.64986,39.34113,0.1234945,75.00766
26,0.05400353,0.05440624,0.008599813,0.08230002,0.1790611,0.03900152,1.321799,0.01900073,0.01016011,0.002069793,0.1290294,0.002809781,0.3198327,0.05188937,9.498313,3.437939,0.3448988,0.1864775,0.9491816,20.70213,7.153789,0.08659694,1.101416,0.09118752,0.1899968,0.2209925,0.8972164,0.0438784,0.0005000545,6.77354,1.380132,0.2851344,0.8130329,3.078401,111.5981,0.1410108,0.8233907,23.61803,21.81033,6.865316,0.2969717,0.1929466,1.384548,0.8855206,0.4851293,0.09509916,0.1969978,0.0001000162,0.08259338,4.911822,14.32462,0.004003671,0.02631229,0.1209873,0.04920521,5.750134E-05,0.269892,0.2274514,0.09513237,0.8387083,0.09718935,0.009887697,34.05906,0.07720616,16.24503,9.852385,21.35047,26.84666,66.15176,56.64965,39.34093,0.1234948,75.00751
27,0.05400368,0.05440652,0.008599801,0.08229996,0.1790634,0.03900155,1.32179,0.01900074,0.01016009,0.002069778,0.1290272,0.002809771,0.3198305,0.05188942,9.498363,3.43794,0.3449114,0.1864806,0.9491921,20.70228,7.153779,0.08659688,1.101413,0.09118816,0.1899975,0.2209927,0.8972229,0.04387801,0.0005000568,6.773569,1.380136,0.2851301,0.8130335,3.078407,111.5985,0.1410104,0.8233952,23.61798,21.81031,6.865296,0.2969711,0.1929461,1.384556,0.8855297,0.4851339,0.09509793,0.1969978,0.0001000171,0.08259328,4.911832,14.32432,0.004003704,0.02631207,0.1209858,0.04920459,5.750152E-05,0.2698917,0.2274521,0.09513101,0.8387204,0.09718957,0.009887686,34.0587,0.07720605,16.24474,9.852612,21.35009,26.84681,66.15101,56.64951,39.34077,0.1234954,75.00742
28,0.05400383,0.0544068,0.008599789,0.08229989,0.1790656,0.03900159,1.321781,0.01900075,0.01016007,0.002069762,0.1290247,0.002809762,0.3198283,0.05188944,9.498408,3.437941,0.344924,0.1864838,0.9492024,20.70242,7.153768,0.08659682,1.10141,0.09118888,0.1899979,0.2209925,0.8972284,0.04387753,0.0005000591,6.773595,1.380139,0.2851258,0.8130339,3.078409,111.5988,0.14101,0.8233984,23.61795,21.81032,6.865283,0.2969705,0.1929459,1.384562,0.8855382,0.4851381,0.0950966,0.1969977,0.000100018,0.08259322,4.91184,14.32401,0.004003741,0.02631189,0.1209841,0.049204,5.750179E-05,0.2698914,0.2274529,0.09512982,0.8387281,0.09718988,0.009887684,34.05834,0.07720593,16.24447,9.852844,21.34971,26.84698,66.15051,56.64945,39.34065,0.1234962,75.00739
29,0.05400399,0.05440709,0.008599777,0.08229981,0.1790677,0.03900162,1.321772,0.01900076,0.01016004,0.002069746,0.129022,0.002809755,0.3198263,0.05188944,9.498451,3.437942,0.3449365,0.186487,0.9492122,20.70254,7.153756,0.08659678,1.101407,0.09118967,0.1899981,0.2209918,0.8972329,0.04387698,0.0005000614,6.773619,1.380142,0.2851216,0.8130341,3.078407,111.5992,0.1410095,0.8234003,23.61795,21.81034,6.865276,0.2969702,0.1929459,1.384567,0.885546,0.4851421,0.09509519,0.1969973,0.000100019,0.0825932,4.911848,14.3237,0.004003783,0.02631174,0.1209824,0.04920346,5.750213E-05,0.2698912,0.227454,0.09512883,0.8387316,0.09719029,0.009887692,34.05798,0.07720584,16.24422,9.853083,21.34933,26.84715,66.15031,56.64946,39.34059,0.1234973,75.00742
30,0.05400415,0.05440737,0.008599766,0.08229973,0.1790698,0.03900164,1.321763,0.01900077,0.01016002,0.002069729,0.129019,0.002809749,0.3198244,0.05188941,9.49849,3.437944,0.3449489,0.1864902,0.9492216,20.70265,7.153743,0.08659675,1.101403,0.09119052,0.1899981,0.2209907,0.8972364,0.04387636,0.0005000636,6.77364,1.380144,0.2851174,0.8130342,3.078401,111.5995,0.1410089,0.823401,23.61797,21.81039,6.865277,0.29697,0.1929461,1.38457,0.8855531,0.4851457,0.09509376,0.1969968,0.0001000199,0.08259324,4.911855,14.32339,0.004003829,0.02631163,0.1209806,0.049203,5.750254E-05,0.2698909,0.2274552,0.09512806,0.8387311,0.0971908,0.009887707,34.05764,0.07720575,16.24399,9.853323,21.34896,26.84731,66.15041,56.64956,39.34058,0.1234986,75.00749
