EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2040,0.05405825,0.05442829,0.008598383,0.08230504,0.1790749,0.03900652,1.322055,0.01900252,0.01015862,0.002068795,0.1290339,0.002810777,0.3197732,0.05189132,9.499138,3.438807,0.3449968,0.1865924,0.9492837,20.70028,7.152689,0.08661274,1.101443,0.09119178,0.1899722,0.2209682,0.8971471,0.04387382,0.0005002821,6.774113,1.380168,0.2851929,0.8130546,3.077633,111.6168,0.1410034,0.8232331,23.62029,21.81098,6.866214,0.2969914,0.1929395,1.38448,0.8857367,0.4852087,0.09510637,0.1969767,0.0001000942,0.08259344,4.912142,14.33549,0.00400342,0.0263194,0.1210065,0.04922471,5.75015E-05,0.269867,0.2274379,0.09516507,0.8385217,0.09719037,0.009887259,34.06277,0.07720155,16.25069,9.850526,21.35091,26.84528,66.21333,56.66742,39.35452,0.1235061,75.01354
2041,0.05405843,0.05442755,0.008598189,0.08230528,0.1790781,0.03900689,1.322022,0.01900279,0.01015881,0.002068809,0.1290366,0.002810658,0.3197621,0.05189528,9.499497,3.438908,0.3450303,0.1866001,0.9493408,20.70192,7.152719,0.08661117,1.101411,0.09118555,0.1899979,0.2210014,0.8972577,0.04388036,0.0005002883,6.774471,1.380218,0.2851587,0.8130698,3.077939,111.6189,0.1410061,0.8233135,23.6188,21.80948,6.865649,0.2969687,0.1929239,1.38457,0.8858107,0.4852321,0.09509423,0.1969857,0.0001000952,0.08259089,4.912114,14.32518,0.004003598,0.02631085,0.1209878,0.04920626,5.75011E-05,0.2698643,0.2274284,0.09513212,0.8386137,0.09718677,0.009886936,34.05776,0.07720061,16.24362,9.851256,21.35033,26.84686,66.10789,56.65012,39.33991,0.1234916,75.00356
2042,0.05405873,0.05442736,0.008598,0.08230504,0.1790795,0.039007,1.321952,0.01900285,0.01015869,0.002068737,0.1289998,0.002810664,0.3197574,0.05189371,9.499332,3.438788,0.3450417,0.1866011,0.9493352,20.70145,7.152659,0.08661091,1.101289,0.09119213,0.1899762,0.2209403,0.89716,0.04386405,0.0005002873,6.774178,1.380105,0.2850781,0.8130277,3.077437,111.6171,0.1409837,0.8231757,23.61975,21.81045,6.865772,0.296965,0.1929332,1.384383,0.885715,0.4852053,0.095068,0.1969521,0.0001000949,0.08259026,4.911656,14.31281,0.004004111,0.02631132,0.1209574,0.04920046,5.750406E-05,0.2698631,0.2274369,0.09512923,0.8383589,0.09719113,0.009887017,34.05286,0.0772002,16.24092,9.854208,21.34831,26.84762,66.17937,56.65974,39.34534,0.1235278,75.00931
2043,0.05405964,0.05442793,0.008597897,0.08230471,0.1790755,0.0390068,1.322021,0.01900268,0.01015849,0.002068665,0.1289795,0.002810784,0.3197712,0.05188768,9.498889,3.438744,0.3449887,0.1865903,0.94925,20.69897,7.152586,0.08661425,1.101418,0.09120401,0.1899513,0.2209383,0.8970993,0.04386711,0.0005002888,6.773968,1.380135,0.2851657,0.8130437,3.077445,111.6158,0.1409967,0.8231944,23.6221,21.81276,6.866514,0.2969842,0.1929543,1.384427,0.8856919,0.4851908,0.09510341,0.1969566,0.0001000948,0.08259791,4.912055,14.3357,0.004004279,0.02632185,0.1210043,0.04923046,5.751E-05,0.2698646,0.2274759,0.09518296,0.8384137,0.09720594,0.009888285,34.06347,0.07720163,16.25206,9.854317,21.34684,26.84751,66.24461,56.6729,39.35864,0.1235203,75.01742
2044,0.0540599,0.05442783,0.008597724,0.08230454,0.1790719,0.03900679,1.32197,0.01900267,0.01015852,0.002068675,0.1289924,0.002810642,0.3197755,0.05189201,9.49904,3.438896,0.3450014,0.1865929,0.9493046,20.7008,7.152594,0.08661301,1.101502,0.09120023,0.1899975,0.2210217,0.8972743,0.04388289,0.0005002937,6.774518,1.380319,0.28517,0.8130838,3.078094,111.6191,0.1410128,0.8233604,23.62239,21.81291,6.866618,0.2969971,0.1929503,1.384632,0.8858125,0.4852301,0.0951117,0.196988,0.0001000959,0.08259886,4.91228,14.33126,0.004003979,0.02631261,0.1210105,0.04921218,5.750707E-05,0.2698653,0.2274575,0.09514456,0.8386807,0.09719802,0.009888155,34.062,0.07720269,16.24618,9.850623,21.35176,26.8467,66.10253,56.64953,39.34046,0.1234757,75.00346
2045,0.05405952,0.05442705,0.008597544,0.08230489,0.1790753,0.03900722,1.32192,0.019003,0.01015879,0.002068742,0.1290274,0.002810569,0.3197656,0.05189742,9.499373,3.43883,0.3450498,0.1866015,0.9493709,20.70274,7.152666,0.08661126,1.101311,0.09118641,0.1900009,0.2209715,0.8972133,0.04386808,0.0005002936,6.774347,1.380174,0.2850697,0.8130324,3.077608,111.618,0.1409856,0.8232054,23.61979,21.81036,6.865925,0.2969853,0.1929303,1.384418,0.8857482,0.4852216,0.09506632,0.1969659,0.0001000958,0.0825878,4.911617,14.30705,0.004003467,0.02630706,0.1209542,0.04918822,5.749617E-05,0.2698618,0.2274041,0.095102,0.8384423,0.09717786,0.00988631,34.05071,0.07720058,16.23737,9.850121,21.35392,26.84512,66.14353,56.65238,39.33908,0.1235131,75.00433
2046,0.05406002,0.054427,0.008597556,0.08230542,0.1790793,0.03900751,1.322101,0.01900321,0.01015898,0.002068756,0.1290414,0.002810767,0.3197661,0.05189157,9.499282,3.438731,0.3450095,0.186595,0.9492769,20.69996,7.152685,0.08661541,1.101342,0.091187,0.1899492,0.2209135,0.8970527,0.04386391,0.0005002958,6.773818,1.380023,0.2851713,0.8130245,3.077212,111.615,0.1409895,0.8231222,23.61857,21.80927,6.865658,0.2969654,0.1929276,1.384338,0.8856755,0.4851903,0.09509025,0.1969567,0.0001000951,0.08258835,4.911887,14.33266,0.004003503,0.02632245,0.1209879,0.04922895,5.749877E-05,0.2698592,0.2274352,0.0951758,0.8383437,0.09718993,0.009886737,34.06059,0.07719915,16.25152,9.853202,21.34731,26.84612,66.28299,56.67859,39.36244,0.1235384,75.02022
2047,0.05406064,0.05442725,0.008597502,0.08230505,0.1790769,0.0390074,1.322066,0.01900312,0.01015882,0.002068678,0.1289972,0.002810682,0.319768,0.05189063,9.499226,3.438896,0.3449983,0.1865948,0.9492798,20.69999,7.152615,0.08661505,1.101501,0.09119735,0.1899801,0.2210061,0.8972485,0.04388475,0.0005003015,6.77443,1.380254,0.2852103,0.8130903,3.078058,111.6186,0.1410173,0.8233666,23.62067,21.81126,6.866045,0.2969655,0.1929382,1.384648,0.885815,0.4852248,0.09511891,0.1969872,0.0001000961,0.08259787,4.912444,14.3409,0.00400424,0.02631669,0.1210195,0.04922626,5.750936E-05,0.2698607,0.227476,0.0951711,0.8386795,0.09720533,0.009888335,34.06506,0.07720106,16.25049,9.853657,21.34641,26.84884,66.11745,56.65429,39.3453,0.1234822,75.00677
2048,0.05406041,0.05442717,0.008597285,0.08230439,0.1790741,0.03900732,1.321833,0.01900304,0.0101586,0.00206862,0.1289644,0.002810509,0.3197651,0.05189539,9.499166,3.438848,0.3450497,0.1866022,0.9493654,20.7023,7.152557,0.08661119,1.101332,0.09119993,0.190006,0.2209901,0.8972742,0.04386985,0.000500298,6.774545,1.380255,0.2850328,0.8130457,3.077812,111.6191,0.1409874,0.8232695,23.62233,21.81282,6.866384,0.2969856,0.1929473,1.38449,0.8857684,0.4852242,0.09506691,0.196961,0.0001000963,0.08259445,4.911652,14.30327,0.004004394,0.02630347,0.120954,0.04918186,5.750592E-05,0.2698614,0.2274403,0.09509654,0.8384764,0.09719244,0.009887562,34.05021,0.07720176,16.23464,9.852578,21.35203,26.84749,66.08489,56.64297,39.33144,0.1235009,74.99942
2049,0.05406076,0.05442742,0.008597263,0.08230474,0.1790741,0.03900741,1.321994,0.0190031,0.01015873,0.002068662,0.1290074,0.002810733,0.3197758,0.05189063,9.498906,3.438668,0.3450052,0.1865922,0.9492725,20.69976,7.152589,0.08661568,1.101328,0.0911971,0.1899498,0.2209033,0.8970256,0.04385636,0.0005002958,6.77374,1.380051,0.285118,0.8130062,3.077058,111.6144,0.1409791,0.82307,23.62146,21.81205,6.866464,0.2969956,0.1929492,1.384264,0.8856279,0.48518,0.09508207,0.1969434,0.0001000952,0.08259143,4.91165,14.32433,0.004003655,0.02632134,0.1209794,0.04922098,5.749986E-05,0.2698601,0.2274371,0.09516429,0.8382488,0.09719101,0.009887093,34.05853,0.07720071,16.2491,9.852126,21.35053,26.84483,66.31036,56.68076,39.363,0.1235444,75.02119
