EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2040,4.170832,4.140007,3.974412,3.736464,3.664588,3.585465,3.588868,3.406855,3.347873,3.33138,3.371074,3.303707,3.268072,3.249228,3.258768,3.188959,3.043625,3.028453,3.001851,3.001152,3.051769,2.905578,2.880186,2.886071,2.860789,2.659179,2.638991,2.54467,2.616967,2.466936,2.590043,2.556773,2.402467,2.309561,2.282515,2.208682,2.181462,2.283641,2.283641,2.424816,2.371179,2.300286,2.135812,2.583204,2.495151,2.367902,2.313802,2.166628,2.108531,2.0368,2.037122,2.13054,2.105235,2.105235,2.009898,2.054319,2.134805,2.227002,2.119119,2,2.113956,2.121885,2,2.113072,2,2.130854,2.00282,1,1,1,1,1,1
2041,4.170841,4.140009,3.974461,3.736504,3.664611,3.585459,3.588881,3.406849,3.347874,3.331386,3.371083,3.303741,3.268062,3.249246,3.25877,3.188987,3.043631,3.028461,3.001852,3.001152,3.051734,2.905615,2.88028,2.886064,2.860805,2.65921,2.638968,2.544654,2.616976,2.466959,2.590082,2.556968,2.402491,2.309578,2.282557,2.208666,2.181447,2.28364,2.28364,2.424815,2.371176,2.300284,2.135836,2.583398,2.495226,2.367945,2.313836,2.166648,2.10854,2.036806,2.037174,2.130538,2.105253,2.105253,2.0099,2.05432,2.134807,2.22702,2.119144,2,2.113965,2.121891,2,2.113079,2,2.130842,2.00282,1,1,1,1,1,1
2042,4.170853,4.140021,3.974474,3.73656,3.664664,3.585571,3.588926,3.406927,3.347936,3.331444,3.371138,3.303623,3.268061,3.249274,3.258846,3.188929,3.043639,3.028464,3.001852,3.001152,3.051748,2.90556,2.880225,2.886082,2.860763,2.659133,2.638866,2.544548,2.616987,2.466844,2.590035,2.556842,2.402451,2.3095,2.282419,2.208595,2.181381,2.283693,2.283693,2.424878,2.371235,2.30033,2.13579,2.583203,2.495111,2.367856,2.313768,2.166599,2.108562,2.036793,2.03715,2.130559,2.105217,2.105217,2.009897,2.054333,2.134832,2.227061,2.119161,2,2.113989,2.121913,2,2.113104,2,2.130819,2.002821,1,1,1,1,1,1
2043,4.170833,4.140012,3.974463,3.736545,3.664656,3.58554,3.588919,3.406914,3.347929,3.331433,3.371133,3.303682,3.268048,3.249246,3.258803,3.188943,3.043625,3.028451,3.001851,3.001152,3.051759,2.905557,2.88017,2.886073,2.860775,2.659155,2.638981,2.544656,2.616952,2.466912,2.590041,2.556691,2.40245,2.309541,2.282485,2.208675,2.181454,2.283691,2.283692,2.424876,2.371234,2.300327,2.135796,2.583131,2.495111,2.367873,2.313774,2.166612,2.108557,2.036796,2.037118,2.130556,2.105222,2.105222,2.009896,2.054332,2.134828,2.227049,2.119148,2,2.113983,2.121907,2,2.113099,2,2.130802,2.002821,1,1,1,1,1,1
2044,4.17083,4.140002,3.974423,3.736454,3.664568,3.585403,3.588844,3.406815,3.347849,3.331359,3.37106,3.303781,3.268054,3.249223,3.258738,3.189003,3.043627,3.028459,3.001852,3.001152,3.051745,2.905627,2.88028,2.886052,2.860825,2.659244,2.639016,2.544703,2.616972,2.467,2.590104,2.556984,2.402501,2.309614,2.282601,2.208699,2.181478,2.283626,2.283626,2.424797,2.371161,2.300269,2.135855,2.583446,2.495268,2.367983,2.313861,2.16667,2.108533,2.036812,2.037174,2.13053,2.105269,2.105269,2.009902,2.054317,2.134799,2.227007,2.119138,2,2.113958,2.121884,2,2.113072,2,2.130835,2.00282,1,1,1,1,1,1
2045,4.17085,4.140015,3.974395,3.736451,3.664572,3.585485,3.588857,3.406862,3.347872,3.331382,3.37107,3.303628,3.268087,3.249254,3.258816,3.188936,3.043644,3.028468,3.001853,3.001152,3.051769,2.905577,2.880243,2.88608,2.860776,2.659157,2.63885,2.544538,2.617015,2.466849,2.590035,2.556949,2.402467,2.309514,2.282426,2.208583,2.181372,2.283638,2.283638,2.424814,2.371176,2.300286,2.135806,2.583282,2.495152,2.367885,2.313795,2.166615,2.108535,2.036797,2.037154,2.130541,2.105229,2.105229,2.009898,2.054318,2.134807,2.227011,2.119132,2,2.113961,2.121889,2,2.113075,2,2.130874,2.00282,1,1,1,1,1,1
2046,4.170837,4.140019,3.974462,3.736548,3.664663,3.585574,3.58893,3.40693,3.347933,3.331438,3.37113,3.303632,3.26807,3.249255,3.258824,3.188919,3.043627,3.028452,3.001851,3.001152,3.051767,2.905534,2.880136,2.886088,2.860752,2.659114,2.63894,2.544613,2.616961,2.466864,2.590001,2.556626,2.402435,2.309503,2.282428,2.208646,2.181429,2.283686,2.283687,2.424872,2.37123,2.300327,2.135771,2.583024,2.495048,2.367824,2.313743,2.166585,2.10855,2.036789,2.037098,2.130558,2.105202,2.105202,2.009894,2.05433,2.134826,2.227037,2.119132,2,2.113976,2.121904,2,2.113094,2,2.130834,2.002821,1,1,1,1,1,1
2047,4.170828,4.140007,3.974511,3.736559,3.664654,3.585463,3.588909,3.406859,3.347895,3.331407,3.371113,3.303809,3.26803,3.249239,3.258746,3.189013,3.04362,3.028454,3.001852,3.001152,3.051716,2.905626,2.880281,2.886052,2.860821,2.659239,2.63906,2.544742,2.616939,2.467028,2.590113,2.55691,2.402497,2.309619,2.282634,2.20873,2.181505,2.283664,2.283664,2.424842,2.371201,2.300299,2.13585,2.583418,2.495254,2.367974,2.313851,2.166666,2.108553,2.03681,2.037176,2.130543,2.105264,2.105264,2.009901,2.054327,2.134816,2.227042,2.119161,2,2.113978,2.1219,2,2.113093,2,2.130794,2.002821,1,1,1,1,1,1
2048,4.170853,4.140014,3.974435,3.736494,3.6646,3.585489,3.588872,3.406871,3.347892,3.331401,3.371097,3.30366,3.268059,3.249263,3.258819,3.188955,3.043646,3.028472,3.001853,3.001152,3.051747,2.905599,2.880299,2.886067,2.860791,2.659185,2.638856,2.544547,2.61701,2.466875,2.590077,2.557049,2.40248,2.309536,2.282463,2.208587,2.181375,2.28366,2.28366,2.424839,2.371199,2.300301,2.135826,2.583406,2.495208,2.367923,2.313819,2.166634,2.108553,2.036803,2.037189,2.130545,2.105245,2.105245,2.0099,2.054325,2.134818,2.227044,2.119164,2,2.113979,2.121903,2,2.113092,2,2.130829,2.00282,1,1,1,1,1,1
2049,4.170836,4.140017,3.974393,3.736481,3.664611,3.58556,3.588893,3.406921,3.347919,3.33142,3.371109,3.303575,3.268083,3.249248,3.258838,3.188892,3.043633,3.028454,3.001851,3.001152,3.0518,2.905514,2.880106,2.886092,2.860743,2.659096,2.638888,2.544562,2.616984,2.466811,2.589981,2.556609,2.402424,2.309479,2.282361,2.20861,2.181396,2.283678,2.283678,2.424863,2.371222,2.300322,2.135761,2.582962,2.495019,2.367804,2.313727,2.166574,2.108543,2.036786,2.037081,2.130557,2.105195,2.105195,2.009893,2.054327,2.134822,2.227024,2.119119,2,2.11397,2.121898,2,2.113087,2,2.130851,2.002821,1,1,1,1,1,1
