EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,CatchFleetGroup

year,fleet,group,value
2084,2,7,0.002997937
2084,3,15,0.03840851
2084,3,20,0.03841184
2084,3,41,0.122996
2084,3,45,0.03067678
2085,1,22,0.09011769
2085,2,7,0.003009327
2085,3,15,0.03839317
2085,3,20,0.03829101
2085,3,41,0.1229873
2085,3,45,0.03070009
2086,1,22,0.08996177
2086,2,7,0.002996222
2086,3,15,0.03843425
2086,3,20,0.03849139
2086,3,41,0.1229833
2086,3,45,0.03078832
2087,1,22,0.08995976
2087,2,7,0.00299325
2087,3,15,0.03841987
2087,3,20,0.03847125
2087,3,41,0.1230015
2087,3,45,0.03069058
2088,1,22,0.09015101
2088,2,7,0.003011369
2088,3,15,0.03838426
2088,3,20,0.03824875
2088,3,41,0.1230008
2088,3,45,0.0306705
2089,1,22,0.08999912
2089,2,7,0.002999933
2089,3,15,0.03843496
2089,3,20,0.03846208
2089,3,41,0.1229821
2089,3,45,0.03081079
2090,1,22,0.08989847
2090,2,7,0.00298767
2090,3,15,0.03844073
2090,3,20,0.03855732
2090,3,41,0.1229923
2090,3,45,0.03072593
2091,1,22,0.09016871
2091,2,7,0.003011539
2091,3,15,0.03837958
2091,3,20,0.03822454
2091,3,41,0.1230032
2091,3,45,0.03063533
2092,1,22,0.09007335
2092,2,7,0.00300633
2092,3,15,0.03842796
2092,3,20,0.03838993
2092,3,41,0.1229892
2092,3,45,0.03082198
2093,1,22,0.08983203
2093,2,7,0.002981746
2093,3,15,0.0384677
2093,3,20,0.03865943
2093,3,41,0.1229983
2093,3,45,0.03078935
2094,1,22,0.09015553
2094,2,7,0.003008332
2094,3,15,0.03838556
2094,3,20,0.03824606
2094,3,41,0.1230105
2094,3,45,0.03060598
2095,1,22,0.09018932
2095,2,7,0.003015912
2095,3,15,0.03841637
2095,3,20,0.03827311
2095,3,41,0.1229854
2095,3,45,0.03081429
2096,1,22,0.08978113
2096,2,7,0.002977451
2096,3,15,0.03850115
2096,3,20,0.03875656
2096,3,41,0.1229932
2096,3,45,0.03088418
2097,1,22,0.09009513
2097,2,7,0.002999753
2097,3,15,0.03840746
2097,3,20,0.03833823
2097,3,41,0.1230293
2097,3,45,0.03059944
2098,1,22,0.09034085
2098,2,7,0.003027366
2098,3,15,0.03839905
2098,3,20,0.03811589
2098,3,41,0.123003
2098,3,45,0.03078053
2099,1,22,0.08978195
2099,2,7,0.0029777
2099,3,15,0.0385392
2099,3,20,0.03881864
2099,3,41,0.1229885
2099,3,45,0.03100994
2100,1,22,0.08997544
2100,2,7,0.002985
2100,3,15,0.03845966
2100,3,20,0.03853469
2100,3,41,0.1230351
2100,3,45,0.03064603
2101,1,22,0.09050441
2101,2,7,0.003038162
2101,3,15,0.03838417
2101,3,20,0.03794369
2101,3,41,0.1230231
2101,3,45,0.03071914
2102,1,22,0.08988681
2102,2,7,0.002985659
2102,3,15,0.03857343
2102,3,20,0.03879251
2102,3,41,0.123
2102,3,45,0.0311535
2103,1,22,0.08979702
2103,2,7,0.002963906
2103,3,15,0.03855128
2103,3,20,0.03885344
2103,3,41,0.1230557
2103,3,45,0.03078789
2104,1,22,0.09063626
2104,2,7,0.003043613
2104,3,15,0.0383906
2104,3,20,0.03782437
2104,3,41,0.1230524
2104,3,45,0.03064548
2105,1,22,0.09015512
2105,2,7,0.003005358
2105,3,15,0.03860122
2105,3,20,0.03862261
2105,3,41,0.1230067
2105,3,45,0.03128915
2106,1,22,0.08959061
2106,2,7,0.002939497
2106,3,15,0.03869046
2106,3,20,0.03927233
2106,3,41,0.1230765
2106,3,45,0.03107234
2107,1,22,0.09067524
2107,2,7,0.00303573
2107,3,15,0.03844502
2107,3,20,0.03786917
2107,3,41,0.1231138
2107,3,45,0.03060075
2108,1,22,0.09061757
2108,2,7,0.003038296
2108,3,15,0.0386168
2108,3,20,0.03826133
2108,3,41,0.1230386
2108,3,45,0.03137522
2109,1,22,0.08950126
2109,2,7,0.002920988
2109,3,15,0.03887816
2109,3,20,0.03970465
2109,3,41,0.1231157
2109,3,45,0.03155254
2110,1,22,0.0905261
2110,2,7,0.003002635
2110,3,15,0.03862056
2110,3,20,0.03835106
2110,3,41,0.1231872
2110,3,45,0.03073029
2111,1,22,0.09105652
2111,2,7,0.003077711
2111,3,15,0.03862983
2111,3,20,0.03772916
2111,3,41,0.1230315
2111,3,45,0.03122473
2112,1,22,0.08969366
2112,2,7,0.00294285
2112,3,15,0.03897764
2112,3,20,0.03951626
2112,3,41,0.1230898
2112,3,45,0.03181447
2113,1,22,0.09028473
2113,2,7,0.002958475
2113,3,15,0.03878436
2113,3,20,0.03892458
2113,3,41,0.123329
2113,3,45,0.03098105
2114,1,22,0.09131526
2114,2,7,0.003083236
2114,3,15,0.03859719
2114,3,20,0.03750816
2114,3,41,0.1232164
2114,3,45,0.0310287
2115,1,22,0.09015436
2115,2,7,0.002982547
2115,3,15,0.03894267
2115,3,20,0.03909801
2115,3,41,0.1231097
2115,3,45,0.03187202
2116,1,22,0.09004007
2116,2,7,0.00292695
2116,3,15,0.03890214
2116,3,20,0.03943802
2116,3,41,0.1233096
2116,3,45,0.03128899
2117,1,22,0.09134638
2117,2,7,0.00306642
2117,3,15,0.03858412
2117,3,20,0.03759709
2117,3,41,0.1232896
2117,3,45,0.0308654
2118,1,22,0.09072608
2118,2,7,0.003027752
2118,3,15,0.03884264
2118,3,20,0.03853113
2118,3,41,0.1231348
2118,3,45,0.03174975
2119,1,22,0.08988874
2119,2,7,0.002914483
2119,3,15,0.03898188
2119,3,20,0.03971466
2119,3,41,0.1232803
2119,3,45,0.03158864
