EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:51 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
21,0.9997304,0.9996674,0.9999726,1.00003,0.9997427,0.9997985,0.99991,0.9997887,0.9999603,1.000299,0.9998582,1.000127,1.000183,0.9998301,0.9996697,1.000046,0.9996027,0.9994512,0.9996263,0.99968,0.9999315,1.000097,0.9999839,1.000015,0.9999315,0.9999086,0.9996464,0.9997836,0.999504,0.9997633,0.9998963,0.999996,0.999952,0.999877,0.9995177,0.9998226,0.9997548,0.99992,0.9999819,0.999958,0.9997705,0.9999735,0.9997843,0.9996846,0.9996843,0.999931,0.9997853,0.9994542,1.00004,0.999698,1.000043,1.000015,1.000006,0.9997786,1.000041,0.9999912,1.000248,0.999902,0.9999655,0.9996445,1.000019,0.9999828,0.9998245,1.000137,0.999979,1,0.9999953,1,1,1,1,1,1
22,0.9997318,0.999667,0.999976,1.000041,0.9997462,0.9998081,0.9999202,0.9998004,0.9999812,1.000319,0.9998769,1.000124,1.000178,0.9998212,0.9996724,1.000042,0.9995882,0.999422,0.9996156,0.9996697,0.9999446,1.000098,0.9999878,0.9999962,0.9999238,0.9999107,0.9996554,0.9997919,0.9995068,0.9997699,0.999894,1.000007,0.9999567,0.99989,0.9995201,0.9998329,0.9997762,0.9999069,0.999971,0.9999436,0.9997633,0.9999585,0.9998034,0.999688,0.9996882,0.9999363,0.9997878,0.9994446,1.000037,0.9997093,1.000074,1.000006,1.000006,0.9997876,1.00005,0.9999808,1.000244,0.9998975,0.9999622,0.9996636,1.000015,0.9999748,0.9998325,1.000134,0.9999835,1,1,1,1,1,1,1,1
23,0.9997324,0.9996665,0.9999791,1.000051,0.9997507,0.9998181,0.9999296,0.999813,1.000003,1.00034,0.999896,1.000119,1.000172,0.9998137,0.9996768,1.000038,0.9995752,0.9993939,0.9996074,0.9996621,0.9999582,1.000099,0.9999918,0.9999786,0.99992,0.9999157,0.9996682,0.9998027,0.9995111,0.9997785,0.9998931,1.000018,0.9999616,0.9999037,0.9995242,0.999844,0.9997983,0.9998928,0.9999588,0.9999275,0.9997548,0.9999424,0.9998229,0.9996935,0.9996939,0.9999409,0.9997914,0.9994362,1.000033,0.9997208,1.000104,0.9999975,1.000006,0.9997956,1.000058,0.9999706,1.00024,0.9998926,0.9999568,0.9996842,1.000011,0.9999664,0.9998388,1.00013,0.9999862,1,1.000003,1,1,1,1,1,1
24,0.9997322,0.9996659,0.9999819,1.000062,0.9997558,0.9998285,0.9999381,0.9998267,1.000026,1.000361,0.9999155,1.000111,1.000165,0.9998076,0.9996831,1.000033,0.9995641,0.9993672,0.999602,0.9996575,0.9999718,1.0001,0.9999956,0.9999618,0.99992,0.9999232,0.9996848,0.9998153,0.9995162,0.9997886,0.9998932,1.000028,0.9999664,0.9999179,0.99953,0.9998555,0.9998206,0.9998775,0.9999453,0.99991,0.9997451,0.9999255,0.9998421,0.9997011,0.9997014,0.9999447,0.9997956,0.9994291,1.000028,0.9997321,1.000132,0.9999894,1.000006,0.9998018,1.000064,0.9999605,1.000234,0.9998872,0.9999495,0.9997057,1.000006,0.9999578,0.9998435,1.000126,0.9999868,1,1.000003,1,1,1,1,1,1
25,0.9997309,0.999665,0.9999843,1.000072,0.9997616,0.9998389,0.9999455,0.9998412,1.000049,1.000382,0.999935,1.000101,1.000158,0.9998032,0.9996909,1.000028,0.9995548,0.9993421,0.9995995,0.9996559,0.9999856,1.0001,0.9999992,0.9999459,0.9999236,0.9999329,0.9997045,0.9998291,0.9995222,0.9998001,0.9998946,1.000037,0.9999712,0.9999325,0.9995369,0.999867,0.9998426,0.9998611,0.9999309,0.9998912,0.9997342,0.9999079,0.9998611,0.9997109,0.9997106,0.9999477,0.9998003,0.9994231,1.000023,0.999743,1.000158,0.9999819,1.000005,0.9998064,1.000067,0.9999506,1.000227,0.9998812,0.9999403,0.9997279,1.000002,0.9999488,0.9998462,1.00012,0.9999854,1,1.000001,1,1,1,1,1,1
26,0.9997284,0.9996638,0.9999862,1.000082,0.9997683,0.9998494,0.9999515,0.9998562,1.000073,1.000403,0.9999542,1.000088,1.00015,0.9998006,0.9997004,1.000022,0.9995477,0.9993187,0.9996,0.9996576,0.9999994,1.0001,1.000003,0.9999308,0.9999308,0.9999442,0.9997268,0.9998435,0.9995291,0.999813,0.9998971,1.000045,0.9999757,0.9999471,0.9995451,0.9998783,0.9998643,0.9998438,0.9999154,0.9998711,0.9997221,0.9998896,0.9998795,0.9997225,0.9997213,0.9999497,0.9998052,0.9994183,1.000017,0.9997534,1.00018,0.9999745,1.000003,0.999809,1.000069,0.9999408,1.000219,0.9998747,0.9999297,0.9997504,0.9999962,0.9999394,0.9998471,1.000113,0.9999821,1,0.9999967,1,1,1,1,1,1
27,0.9997245,0.9996622,0.9999878,1.000092,0.9997754,0.99986,0.9999563,0.9998719,1.000097,1.000424,0.9999731,1.000074,1.000141,0.9997997,0.9997112,1.000016,0.999543,0.9992973,0.9996034,0.9996624,1.000013,1.000099,1.000005,0.9999167,0.9999412,0.9999567,0.9997513,0.9998583,0.9995365,0.9998269,0.9999002,1.000051,0.9999797,0.9999612,0.9995541,0.9998892,0.9998851,0.9998258,0.9998991,0.9998499,0.999709,0.999871,0.9998971,0.9997357,0.9997335,0.9999509,0.99981,0.9994145,1.00001,0.9997632,1.000197,0.9999676,1.000001,0.9998096,1.000069,0.9999313,1.000209,0.9998676,0.9999175,0.9997726,0.9999906,0.9999296,0.9998459,1.000105,0.9999769,1,0.9999899,1,1,1,1,1,1
28,0.9997193,0.9996604,0.9999887,1.000101,0.9997831,0.9998705,0.9999595,0.9998877,1.000121,1.000445,0.9999912,1.000059,1.000131,0.9998004,0.9997233,1.00001,0.9995404,0.999278,0.9996098,0.9996703,1.000026,1.000098,1.000008,0.9999033,0.9999543,0.9999704,0.9997776,0.9998727,0.9995441,0.9998414,0.9999043,1.000056,0.9999832,0.9999748,0.999564,0.9998993,0.9999049,0.9998071,0.999882,0.9998277,0.9996948,0.9998519,0.9999136,0.9997503,0.999747,0.9999511,0.9998147,0.9994116,1.000003,0.9997721,1.000209,0.9999612,0.9999989,0.9998082,1.000067,0.999922,1.000199,0.9998598,0.999904,0.9997942,0.9999847,0.9999196,0.9998429,1.000096,0.99997,1,0.9999811,1,1,1,1,1,1
29,0.9997127,0.9996582,0.9999892,1.00011,0.9997914,0.9998808,0.9999614,0.9999038,1.000145,1.000464,1.000008,1.000042,1.00012,0.9998029,0.9997364,1.000004,0.9995404,0.999261,0.9996188,0.9996811,1.000039,1.000097,1.000009,0.9998907,0.9999698,0.9999845,0.9998049,0.9998864,0.9995518,0.9998564,0.9999089,1.000058,0.9999861,0.9999876,0.9995742,0.9999083,0.9999232,0.999788,0.9998645,0.9998049,0.9996796,0.9998329,0.9999289,0.9997663,0.9997616,0.9999503,0.999819,0.9994094,0.9999945,0.9997798,1.000216,0.9999552,0.9999962,0.9998045,1.000063,0.999913,1.000187,0.9998516,0.9998897,0.999815,0.9999786,0.9999092,0.9998378,1.000086,0.9999614,1,0.9999702,1,1,1,1,1,1
30,0.9997047,0.9996556,0.9999891,1.000118,0.9998001,0.9998908,0.9999617,0.9999201,1.000169,1.000483,1.000025,1.000024,1.000109,0.999807,0.9997506,0.9999982,0.9995427,0.9992464,0.9996307,0.9996946,1.000052,1.000095,1.00001,0.999879,0.9999876,0.9999986,0.9998328,0.9998989,0.9995596,0.9998715,0.9999138,1.000057,0.9999881,0.999999,0.9995849,0.9999163,0.99994,0.9997687,0.9998467,0.9997816,0.9996634,0.999814,0.9999426,0.9997832,0.999777,0.9999485,0.9998229,0.9994081,0.9999856,0.9997864,1.000216,0.9999498,0.9999934,0.9997987,1.000057,0.9999048,1.000175,0.9998429,0.9998747,0.9998345,0.9999722,0.9998987,0.9998308,1.000076,0.9999514,1,0.9999574,1,1,1,1,1,1
31,0.9996951,0.9996528,0.9999884,1.000126,0.9998092,0.9999004,0.9999607,0.9999364,1.000192,1.0005,1.00004,1.000006,1.000097,0.9998124,0.9997656,0.9999922,0.9995475,0.9992341,0.999645,0.9997107,1.000064,1.000093,1.00001,0.9998682,1.000007,1.000012,0.9998609,0.99991,0.9995673,0.9998864,0.9999191,1.000054,0.9999894,1.000009,0.9995956,0.9999228,0.9999551,0.9997495,0.9998288,0.9997581,0.9996465,0.9997953,0.9999546,0.9998007,0.9997929,0.999946,0.9998261,0.9994075,0.9999763,0.9997919,1.00021,0.9999449,0.9999903,0.9997908,1.000051,0.999897,1.000162,0.999834,0.9998593,0.9998526,0.9999658,0.9998884,0.9998223,1.000064,0.9999402,1,0.9999431,1,1,1,1,1,1
