EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,CatchFleetGroup

timestep,fleet,group,value
20,3,20,0.003200178
20,3,41,0.01024925
20,3,45,0.002558848
21,1,22,0.007499767
21,2,7,0.0002500114
21,3,15,0.003200346
21,3,20,0.003200202
21,3,41,0.0102492
21,3,45,0.002558878
22,1,22,0.00749976
22,2,7,0.0002500103
22,3,15,0.003200367
22,3,20,0.003200228
22,3,41,0.01024916
22,3,45,0.002558907
23,1,22,0.007499753
23,2,7,0.0002500091
23,3,15,0.003200387
23,3,20,0.003200254
23,3,41,0.01024912
23,3,45,0.002558936
24,1,22,0.007499747
24,2,7,0.0002500078
24,3,15,0.003200406
24,3,20,0.00320028
24,3,41,0.01024909
24,3,45,0.002558964
25,1,22,0.007499741
25,2,7,0.0002500063
25,3,15,0.003200425
25,3,20,0.003200305
25,3,41,0.01024905
25,3,45,0.00255899
26,1,22,0.007499734
26,2,7,0.0002500047
26,3,15,0.003200443
26,3,20,0.003200329
26,3,41,0.01024903
26,3,45,0.002559015
27,1,22,0.00749973
27,2,7,0.0002500031
27,3,15,0.003200459
27,3,20,0.003200352
27,3,41,0.010249
27,3,45,0.00255904
28,1,22,0.007499725
28,2,7,0.0002500014
28,3,15,0.003200474
28,3,20,0.003200373
28,3,41,0.01024898
28,3,45,0.002559062
29,1,22,0.007499721
29,2,7,0.0002499997
29,3,15,0.003200489
29,3,20,0.003200393
29,3,41,0.01024897
29,3,45,0.002559083
30,1,22,0.007499719
30,2,7,0.000249998
30,3,15,0.003200502
30,3,20,0.00320041
30,3,41,0.01024896
30,3,45,0.002559102
31,1,22,0.007499717
31,2,7,0.0002499964
31,3,15,0.003200514
31,3,20,0.003200425
31,3,41,0.01024896
31,3,45,0.00255912
32,1,22,0.007499716
32,2,7,0.0002499948
32,3,15,0.003200525
32,3,20,0.003200438
32,3,41,0.01024897
32,3,45,0.002559136
33,1,22,0.007499717
33,2,7,0.0002499933
33,3,15,0.003200535
33,3,20,0.003200447
33,3,41,0.01024899
33,3,45,0.00255915
34,1,22,0.007499718
34,2,7,0.0002499918
34,3,15,0.003200543
34,3,20,0.003200454
34,3,41,0.01024901
34,3,45,0.002559163
35,1,22,0.00749972
35,2,7,0.0002499905
35,3,15,0.003200551
35,3,20,0.003200459
35,3,41,0.01024903
35,3,45,0.002559175
36,1,22,0.007499725
36,2,7,0.0002499893
36,3,15,0.003200557
36,3,20,0.00320046
36,3,41,0.01024907
36,3,45,0.002559185
37,1,22,0.007499729
37,2,7,0.0002499883
37,3,15,0.003200562
37,3,20,0.003200458
37,3,41,0.01024911
37,3,45,0.002559193
38,1,22,0.007499734
38,2,7,0.0002499875
38,3,15,0.003200566
38,3,20,0.003200454
38,3,41,0.01024916
38,3,45,0.0025592
39,1,22,0.007499742
39,2,7,0.0002499868
39,3,15,0.003200569
39,3,20,0.003200447
39,3,41,0.01024921
39,3,45,0.002559206
40,1,22,0.007499749
40,2,7,0.0002499863
40,3,15,0.003200573
40,3,20,0.003200438
40,3,41,0.01024927
40,3,45,0.002559212
41,1,22,0.007499758
41,2,7,0.000249986
41,3,15,0.003200575
41,3,20,0.003200427
41,3,41,0.01024934
41,3,45,0.002559216
42,1,22,0.007499767
42,2,7,0.0002499859
42,3,15,0.003200576
42,3,20,0.003200414
42,3,41,0.01024941
42,3,45,0.002559219
43,1,22,0.007499777
43,2,7,0.0002499859
43,3,15,0.003200578
43,3,20,0.0032004
43,3,41,0.01024949
43,3,45,0.002559223
44,1,22,0.007499786
44,2,7,0.0002499862
44,3,15,0.003200579
44,3,20,0.003200384
44,3,41,0.01024956
44,3,45,0.002559225
45,1,22,0.007499797
45,2,7,0.0002499866
45,3,15,0.00320058
45,3,20,0.003200367
45,3,41,0.01024965
45,3,45,0.002559227
46,1,22,0.007499807
46,2,7,0.0002499872
46,3,15,0.003200581
46,3,20,0.003200349
46,3,41,0.01024973
46,3,45,0.002559229
47,1,22,0.007499817
47,2,7,0.000249988
47,3,15,0.003200582
47,3,20,0.003200332
47,3,41,0.01024981
47,3,45,0.002559231
48,1,22,0.007499828
48,2,7,0.0002499889
48,3,15,0.003200584
48,3,20,0.003200314
48,3,41,0.0102499
48,3,45,0.002559233
49,1,22,0.007499838
49,2,7,0.00024999
49,3,15,0.003200586
49,3,20,0.003200296
49,3,41,0.01024998
49,3,45,0.002559236
50,1,22,0.007499847
50,2,7,0.0002499912
50,3,15,0.003200589
50,3,20,0.003200279
50,3,41,0.01025006
50,3,45,0.002559238
51,1,22,0.007499856
51,2,7,0.0002499925
51,3,15,0.003200592
51,3,20,0.003200263
51,3,41,0.01025014
51,3,45,0.002559241
52,1,22,0.007499864
52,2,7,0.0002499939
52,3,15,0.003200595
52,3,20,0.003200248
52,3,41,0.01025022
52,3,45,0.002559244
53,1,22,0.007499872
53,2,7,0.0002499954
53,3,15,0.003200601
53,3,20,0.003200234
53,3,41,0.01025029
53,3,45,0.002559247
54,1,22,0.007499879
54,2,7,0.000249997
54,3,15,0.003200606
54,3,20,0.003200222
54,3,41,0.01025036
54,3,45,0.002559251
55,1,22,0.007499885
55,2,7,0.0002499986
55,3,15,0.003200612
55,3,20,0.003200211
55,3,41,0.01025042
55,3,45,0.002559255
56,1,22,0.007499892
56,2,7,0.0002500004
56,3,15,0.00320062
56,3,20,0.003200201
56,3,41,0.01025047
56,3,45,0.002559259
57,1,22,0.007499896
57,2,7,0.0002500021
57,3,15,0.003200628
57,3,20,0.003200194
57,3,41,0.01025052
57,3,45,0.002559263
58,1,22,0.007499901
58,2,7,0.0002500039
58,3,15,0.003200637
58,3,20,0.003200187
58,3,41,0.01025057
58,3,45,0.002559268
59,1,22,0.007499905
59,2,7,0.0002500057
59,3,15,0.003200647
59,3,20,0.003200183
59,3,41,0.0102506
59,3,45,0.002559272
60,1,22,0.007499908
60,2,7,0.0002500075
60,3,15,0.003200658
60,3,20,0.00320018
60,3,41,0.01025063
60,3,45,0.002559277
61,1,22,0.00749991
61,2,7,0.0002500094
61,3,15,0.00320067
61,3,20,0.003200178
61,3,41,0.01025064
61,3,45,0.002559282
62,1,22,0.007499912
62,2,7,0.0002500112
62,3,15,0.003200682
62,3,20,0.003200178
62,3,41,0.01025065
62,3,45,0.002559286
63,1,22,0.007499914
63,2,7,0.0002500131
63,3,15,0.003200695
63,3,20,0.003200178
63,3,41,0.01025065
63,3,45,0.00255929
64,1,22,0.007499916
64,2,7,0.000250015
64,3,15,0.003200708
64,3,20,0.003200179
64,3,41,0.01025064
64,3,45,0.002559294
65,1,22,0.007499918
65,2,7,0.0002500168
65,3,15,0.003200721
65,3,20,0.003200181
65,3,41,0.01025063
65,3,45,0.002559298
66,1,22,0.00749992
66,2,7,0.0002500187
66,3,15,0.003200735
66,3,20,0.003200183
66,3,41,0.0102506
66,3,45,0.002559301
67,1,22,0.007499923
67,2,7,0.0002500205
67,3,15,0.003200749
67,3,20,0.003200185
67,3,41,0.01025057
67,3,45,0.002559304
68,1,22,0.007499926
68,2,7,0.0002500224
68,3,15,0.003200764
68,3,20,0.003200187
68,3,41,0.01025053
68,3,45,0.002559306
69,1,22,0.00749993
69,2,7,0.0002500242
69,3,15,0.003200777
69,3,20,0.003200189
69,3,41,0.01025048
69,3,45,0.002559307
70,1,22,0.007499934
70,2,7,0.000250026
70,3,15,0.003200791
70,3,20,0.00320019
70,3,41,0.01025043
70,3,45,0.002559308
71,1,22,0.007499939
71,2,7,0.0002500278
71,3,15,0.003200804
71,3,20,0.00320019
71,3,41,0.01025037
71,3,45,0.002559309
72,1,22,0.007499946
72,2,7,0.0002500295
72,3,15,0.003200816
72,3,20,0.003200189
72,3,41,0.0102503
72,3,45,0.002559309
73,1,22,0.007499953
73,2,7,0.0002500313
73,3,15,0.003200828
73,3,20,0.003200187
73,3,41,0.01025023
73,3,45,0.002559308
74,1,22,0.007499961
74,2,7,0.000250033
74,3,15,0.00320084
74,3,20,0.003200184
74,3,41,0.01025016
74,3,45,0.002559307
75,1,22,0.00749997
75,2,7,0.0002500346
75,3,15,0.00320085
75,3,20,0.003200179
75,3,41,0.01025008
75,3,45,0.002559306
76,1,22,0.00749998
76,2,7,0.0002500362
76,3,15,0.003200859
76,3,20,0.003200173
76,3,41,0.01025001
76,3,45,0.002559305
77,1,22,0.007499992
77,2,7,0.0002500377
77,3,15,0.003200867
77,3,20,0.003200166
77,3,41,0.01024993
77,3,45,0.002559303
78,1,22,0.007500004
78,2,7,0.0002500391
78,3,15,0.003200875
78,3,20,0.003200157
78,3,41,0.01024985
78,3,45,0.002559301
79,1,22,0.007500018
79,2,7,0.0002500405
79,3,15,0.003200881
79,3,20,0.003200147
79,3,41,0.01024977
79,3,45,0.002559299
80,1,22,0.007500032
80,2,7,0.0002500417
80,3,15,0.003200886
80,3,20,0.003200136
80,3,41,0.01024969
80,3,45,0.002559297
81,1,22,0.007500047
81,2,7,0.0002500429
81,3,15,0.00320089
81,3,20,0.003200125
81,3,41,0.01024962
81,3,45,0.002559296
82,1,22,0.007500062
82,2,7,0.0002500438
82,3,15,0.003200892
82,3,20,0.003200112
82,3,41,0.01024955
82,3,45,0.002559295
83,1,22,0.007500077
83,2,7,0.0002500447
83,3,15,0.003200894
83,3,20,0.003200099
83,3,41,0.01024948
83,3,45,0.002559294
84,1,22,0.007500093
84,2,7,0.0002500454
84,3,15,0.003200894
84,3,20,0.003200085
84,3,41,0.01024942
84,3,45,0.002559293
85,1,22,0.007500108
85,2,7,0.0002500459
85,3,15,0.003200892
85,3,20,0.003200072
85,3,41,0.01024936
85,3,45,0.002559293
86,1,22,0.007500123
86,2,7,0.0002500462
86,3,15,0.00320089
86,3,20,0.003200058
86,3,41,0.01024931
86,3,45,0.002559294
87,1,22,0.007500138
87,2,7,0.0002500463
87,3,15,0.003200887
87,3,20,0.003200045
87,3,41,0.01024927
87,3,45,0.002559296
88,1,22,0.007500153
88,2,7,0.0002500462
88,3,15,0.003200882
88,3,20,0.003200033
88,3,41,0.01024924
88,3,45,0.002559297
89,1,22,0.007500165
89,2,7,0.0002500459
89,3,15,0.003200877
89,3,20,0.003200022
89,3,41,0.01024921
89,3,45,0.0025593
90,1,22,0.007500177
90,2,7,0.0002500454
90,3,15,0.00320087
90,3,20,0.003200012
90,3,41,0.01024919
90,3,45,0.002559304
91,1,22,0.007500188
91,2,7,0.0002500446
91,3,15,0.003200863
91,3,20,0.003200003
91,3,41,0.01024918
91,3,45,0.002559308
92,1,22,0.007500199
92,2,7,0.0002500437
92,3,15,0.003200855
92,3,20,0.003199996
92,3,41,0.01024918
92,3,45,0.002559313
93,1,22,0.007500208
93,2,7,0.0002500425
93,3,15,0.003200846
93,3,20,0.00319999
93,3,41,0.01024918
93,3,45,0.002559318
94,1,22,0.007500216
94,2,7,0.0002500411
94,3,15,0.003200837
94,3,20,0.003199986
94,3,41,0.0102492
94,3,45,0.002559324
95,1,22,0.007500222
95,2,7,0.0002500396
95,3,15,0.003200827
95,3,20,0.003199984
95,3,41,0.01024922
95,3,45,0.00255933
96,1,22,0.007500227
96,2,7,0.0002500378
96,3,15,0.003200816
96,3,20,0.003199984
96,3,41,0.01024925
96,3,45,0.002559337
97,1,22,0.007500231
97,2,7,0.000250036
97,3,15,0.003200806
97,3,20,0.003199985
97,3,41,0.01024929
97,3,45,0.002559344
98,1,22,0.007500235
98,2,7,0.000250034
98,3,15,0.003200795
98,3,20,0.003199989
98,3,41,0.01024933
98,3,45,0.00255935
99,1,22,0.007500236
99,2,7,0.0002500319
99,3,15,0.003200784
99,3,20,0.003199994
99,3,41,0.01024939
99,3,45,0.002559357
100,1,22,0.007500237
100,2,7,0.0002500298
100,3,15,0.003200772
100,3,20,0.0032
100,3,41,0.01024945
100,3,45,0.002559364
101,1,22,0.007500238
101,2,7,0.0002500275
101,3,15,0.003200761
101,3,20,0.003200008
101,3,41,0.01024951
101,3,45,0.00255937
102,1,22,0.007500238
102,2,7,0.0002500253
102,3,15,0.00320075
102,3,20,0.003200017
102,3,41,0.01024958
102,3,45,0.002559377
103,1,22,0.007500238
103,2,7,0.0002500232
103,3,15,0.003200739
103,3,20,0.003200027
103,3,41,0.01024965
103,3,45,0.002559382
104,1,22,0.007500238
104,2,7,0.000250021
104,3,15,0.003200728
104,3,20,0.003200038
104,3,41,0.01024972
104,3,45,0.002559388
105,1,22,0.007500238
105,2,7,0.000250019
105,3,15,0.003200718
105,3,20,0.00320005
105,3,41,0.0102498
105,3,45,0.002559393
106,1,22,0.007500239
106,2,7,0.0002500171
106,3,15,0.003200708
106,3,20,0.003200061
106,3,41,0.01024988
106,3,45,0.002559397
107,1,22,0.00750024
107,2,7,0.0002500154
107,3,15,0.003200699
107,3,20,0.003200073
107,3,41,0.01024995
107,3,45,0.002559401
108,1,22,0.007500242
108,2,7,0.0002500139
108,3,15,0.00320069
108,3,20,0.003200085
108,3,41,0.01025003
108,3,45,0.002559404
109,1,22,0.007500244
109,2,7,0.0002500125
109,3,15,0.003200681
109,3,20,0.003200097
109,3,41,0.0102501
109,3,45,0.002559406
110,1,22,0.007500248
110,2,7,0.0002500114
110,3,15,0.003200673
110,3,20,0.003200108
110,3,41,0.01025018
110,3,45,0.002559408
111,1,22,0.007500254
111,2,7,0.0002500107
111,3,15,0.003200666
111,3,20,0.003200119
111,3,41,0.01025024
111,3,45,0.002559409
112,1,22,0.007500259
112,2,7,0.0002500101
112,3,15,0.00320066
112,3,20,0.003200128
112,3,41,0.01025031
112,3,45,0.00255941
113,1,22,0.007500267
113,2,7,0.0002500098
113,3,15,0.003200655
113,3,20,0.003200137
113,3,41,0.01025036
113,3,45,0.00255941
114,1,22,0.007500276
114,2,7,0.0002500099
114,3,15,0.003200651
114,3,20,0.003200145
114,3,41,0.01025042
114,3,45,0.00255941
115,1,22,0.007500286
115,2,7,0.0002500103
115,3,15,0.003200648
115,3,20,0.003200152
115,3,41,0.01025046
115,3,45,0.00255941
116,1,22,0.007500298
116,2,7,0.0002500109
116,3,15,0.003200646
116,3,20,0.003200158
116,3,41,0.0102505
116,3,45,0.00255941
117,1,22,0.007500309
117,2,7,0.0002500118
117,3,15,0.003200644
117,3,20,0.003200164
117,3,41,0.01025053
117,3,45,0.00255941
118,1,22,0.007500323
118,2,7,0.000250013
118,3,15,0.003200644
118,3,20,0.003200168
118,3,41,0.01025055
118,3,45,0.00255941
119,1,22,0.007500337
119,2,7,0.0002500144
119,3,15,0.003200645
119,3,20,0.003200172
119,3,41,0.01025056
119,3,45,0.00255941
120,1,22,0.007500352
120,2,7,0.0002500161
120,3,15,0.003200647
120,3,20,0.003200175
120,3,41,0.01025057
120,3,45,0.00255941
121,1,22,0.007500368
121,2,7,0.0002500179
121,3,15,0.00320065
121,3,20,0.003200178
121,3,41,0.01025056
121,3,45,0.002559411
122,1,22,0.007500384
122,2,7,0.00025002
122,3,15,0.003200654
122,3,20,0.00320018
122,3,41,0.01025055
122,3,45,0.002559412
123,1,22,0.007500399
123,2,7,0.0002500221
123,3,15,0.003200659
123,3,20,0.003200183
123,3,41,0.01025052
123,3,45,0.002559414
124,1,22,0.007500414
124,2,7,0.0002500244
124,3,15,0.003200665
124,3,20,0.003200185
124,3,41,0.01025049
124,3,45,0.002559416
125,1,22,0.007500427
125,2,7,0.0002500267
125,3,15,0.003200672
125,3,20,0.003200187
125,3,41,0.01025045
125,3,45,0.002559419
126,1,22,0.007500441
126,2,7,0.0002500291
126,3,15,0.00320068
126,3,20,0.00320019
126,3,41,0.0102504
126,3,45,0.002559423
127,1,22,0.007500454
127,2,7,0.0002500314
127,3,15,0.003200689
127,3,20,0.003200194
127,3,41,0.01025035
127,3,45,0.002559427
128,1,22,0.007500466
128,2,7,0.0002500337
128,3,15,0.003200698
128,3,20,0.003200197
128,3,41,0.01025028
128,3,45,0.002559431
129,1,22,0.007500476
129,2,7,0.0002500359
129,3,15,0.003200708
129,3,20,0.003200202
129,3,41,0.01025021
129,3,45,0.002559436
130,1,22,0.007500485
130,2,7,0.0002500381
130,3,15,0.003200719
130,3,20,0.003200207
130,3,41,0.01025014
130,3,45,0.002559442
131,1,22,0.007500492
131,2,7,0.0002500401
131,3,15,0.00320073
131,3,20,0.003200212
131,3,41,0.01025006
131,3,45,0.002559447
132,1,22,0.007500497
132,2,7,0.0002500419
132,3,15,0.003200741
132,3,20,0.003200219
132,3,41,0.01024998
132,3,45,0.002559453
133,1,22,0.007500501
133,2,7,0.0002500435
133,3,15,0.003200752
133,3,20,0.003200225
133,3,41,0.01024989
133,3,45,0.002559459
134,1,22,0.007500503
134,2,7,0.0002500449
134,3,15,0.003200764
134,3,20,0.003200233
134,3,41,0.0102498
134,3,45,0.002559465
135,1,22,0.007500503
135,2,7,0.0002500461
135,3,15,0.003200774
135,3,20,0.00320024
135,3,41,0.01024971
135,3,45,0.00255947
136,1,22,0.007500503
136,2,7,0.000250047
136,3,15,0.003200785
136,3,20,0.003200248
136,3,41,0.01024962
136,3,45,0.002559476
137,1,22,0.0075005
137,2,7,0.0002500478
137,3,15,0.003200795
137,3,20,0.003200256
137,3,41,0.01024953
137,3,45,0.00255948
138,1,22,0.007500497
138,2,7,0.0002500483
138,3,15,0.003200805
138,3,20,0.003200263
138,3,41,0.01024944
138,3,45,0.002559484
139,1,22,0.007500492
139,2,7,0.0002500486
139,3,15,0.003200813
139,3,20,0.00320027
139,3,41,0.01024935
139,3,45,0.002559487
140,1,22,0.007500487
140,2,7,0.0002500487
140,3,15,0.003200821
140,3,20,0.003200276
140,3,41,0.01024927
140,3,45,0.002559488
141,1,22,0.007500481
141,2,7,0.0002500486
141,3,15,0.003200828
141,3,20,0.00320028
141,3,41,0.01024919
141,3,45,0.002559489
142,1,22,0.007500475
142,2,7,0.0002500483
142,3,15,0.003200833
142,3,20,0.003200284
142,3,41,0.01024912
142,3,45,0.002559488
143,1,22,0.00750047
143,2,7,0.0002500479
143,3,15,0.003200838
143,3,20,0.003200286
143,3,41,0.01024905
143,3,45,0.002559487
144,1,22,0.007500465
144,2,7,0.0002500473
144,3,15,0.00320084
144,3,20,0.003200286
144,3,41,0.01024899
144,3,45,0.002559484
145,1,22,0.00750046
145,2,7,0.0002500466
145,3,15,0.003200842
145,3,20,0.003200284
145,3,41,0.01024894
145,3,45,0.002559479
146,1,22,0.007500457
146,2,7,0.0002500458
146,3,15,0.003200842
146,3,20,0.003200279
146,3,41,0.0102489
146,3,45,0.002559474
147,1,22,0.007500455
147,2,7,0.0002500449
147,3,15,0.00320084
147,3,20,0.003200272
147,3,41,0.01024886
147,3,45,0.002559467
148,1,22,0.007500455
148,2,7,0.0002500441
148,3,15,0.003200838
148,3,20,0.003200263
148,3,41,0.01024883
148,3,45,0.002559459
149,1,22,0.007500456
149,2,7,0.0002500432
149,3,15,0.003200833
149,3,20,0.003200251
149,3,41,0.01024882
149,3,45,0.00255945
150,1,22,0.007500459
150,2,7,0.0002500423
150,3,15,0.003200827
150,3,20,0.003200237
150,3,41,0.01024881
150,3,45,0.00255944
151,1,22,0.007500464
151,2,7,0.0002500415
151,3,15,0.00320082
151,3,20,0.00320022
151,3,41,0.01024881
151,3,45,0.00255943
152,1,22,0.00750047
152,2,7,0.0002500407
152,3,15,0.003200812
152,3,20,0.003200201
152,3,41,0.01024881
152,3,45,0.002559419
153,1,22,0.007500479
153,2,7,0.0002500399
153,3,15,0.003200802
153,3,20,0.00320018
153,3,41,0.01024883
153,3,45,0.002559408
154,1,22,0.007500488
154,2,7,0.0002500393
154,3,15,0.003200792
154,3,20,0.003200157
154,3,41,0.01024886
154,3,45,0.002559397
155,1,22,0.007500501
155,2,7,0.0002500387
155,3,15,0.003200781
155,3,20,0.003200133
155,3,41,0.01024889
155,3,45,0.002559387
156,1,22,0.007500514
156,2,7,0.0002500383
156,3,15,0.003200768
156,3,20,0.003200108
156,3,41,0.01024893
156,3,45,0.002559377
157,1,22,0.007500529
157,2,7,0.0002500378
157,3,15,0.003200756
157,3,20,0.003200082
157,3,41,0.01024898
157,3,45,0.002559367
158,1,22,0.007500546
158,2,7,0.0002500375
158,3,15,0.003200743
158,3,20,0.003200056
158,3,41,0.01024904
158,3,45,0.002559358
159,1,22,0.007500562
159,2,7,0.0002500373
159,3,15,0.00320073
159,3,20,0.003200031
159,3,41,0.0102491
159,3,45,0.002559351
160,1,22,0.00750058
160,2,7,0.0002500371
160,3,15,0.003200718
160,3,20,0.003200006
160,3,41,0.01024916
160,3,45,0.002559345
161,1,22,0.007500598
161,2,7,0.000250037
161,3,15,0.003200705
161,3,20,0.003199983
161,3,41,0.01024923
161,3,45,0.00255934
162,1,22,0.007500615
162,2,7,0.0002500369
162,3,15,0.003200693
162,3,20,0.003199961
162,3,41,0.01024931
162,3,45,0.002559337
163,1,22,0.007500632
163,2,7,0.0002500368
163,3,15,0.003200681
163,3,20,0.003199942
163,3,41,0.01024938
163,3,45,0.002559335
164,1,22,0.007500649
164,2,7,0.0002500367
164,3,15,0.003200671
164,3,20,0.003199925
164,3,41,0.01024946
164,3,45,0.002559335
165,1,22,0.007500665
165,2,7,0.0002500367
165,3,15,0.003200661
165,3,20,0.003199911
165,3,41,0.01024954
165,3,45,0.002559337
166,1,22,0.007500679
166,2,7,0.0002500366
166,3,15,0.003200653
166,3,20,0.003199901
166,3,41,0.01024961
166,3,45,0.002559341
167,1,22,0.007500692
167,2,7,0.0002500365
167,3,15,0.003200646
167,3,20,0.003199895
167,3,41,0.01024969
167,3,45,0.002559347
168,1,22,0.007500703
168,2,7,0.0002500363
168,3,15,0.00320064
168,3,20,0.003199892
168,3,41,0.01024976
168,3,45,0.002559354
169,1,22,0.007500712
169,2,7,0.0002500361
169,3,15,0.003200635
169,3,20,0.003199893
169,3,41,0.01024984
169,3,45,0.002559362
170,1,22,0.007500719
170,2,7,0.0002500358
170,3,15,0.003200632
170,3,20,0.003199899
170,3,41,0.0102499
170,3,45,0.002559372
171,1,22,0.007500723
171,2,7,0.0002500354
171,3,15,0.003200631
171,3,20,0.003199909
171,3,41,0.01024996
171,3,45,0.002559383
172,1,22,0.007500726
172,2,7,0.000250035
172,3,15,0.003200631
172,3,20,0.003199922
172,3,41,0.01025002
172,3,45,0.002559395
173,1,22,0.007500727
173,2,7,0.0002500345
173,3,15,0.003200633
173,3,20,0.00319994
173,3,41,0.01025007
173,3,45,0.002559407
174,1,22,0.007500725
174,2,7,0.0002500339
174,3,15,0.003200636
174,3,20,0.00319996
174,3,41,0.01025012
174,3,45,0.00255942
175,1,22,0.007500722
175,2,7,0.0002500333
175,3,15,0.00320064
175,3,20,0.003199984
175,3,41,0.01025015
175,3,45,0.002559433
176,1,22,0.007500717
176,2,7,0.0002500327
176,3,15,0.003200646
176,3,20,0.00320001
176,3,41,0.01025018
176,3,45,0.002559446
177,1,22,0.007500712
177,2,7,0.000250032
177,3,15,0.003200653
177,3,20,0.003200039
177,3,41,0.0102502
177,3,45,0.002559459
178,1,22,0.007500704
178,2,7,0.0002500313
178,3,15,0.00320066
178,3,20,0.003200069
178,3,41,0.01025022
178,3,45,0.00255947
179,1,22,0.007500697
179,2,7,0.0002500307
179,3,15,0.003200669
179,3,20,0.0032001
179,3,41,0.01025022
179,3,45,0.002559481
180,1,22,0.007500688
180,2,7,0.00025003
180,3,15,0.003200679
180,3,20,0.003200131
180,3,41,0.01025022
180,3,45,0.002559491
181,1,22,0.00750068
181,2,7,0.0002500295
181,3,15,0.003200689
181,3,20,0.003200162
181,3,41,0.0102502
181,3,45,0.002559499
182,1,22,0.007500672
182,2,7,0.0002500291
182,3,15,0.0032007
182,3,20,0.003200193
182,3,41,0.01025018
182,3,45,0.002559505
183,1,22,0.007500665
183,2,7,0.0002500288
183,3,15,0.00320071
183,3,20,0.003200222
183,3,41,0.01025015
183,3,45,0.002559511
184,1,22,0.00750066
184,2,7,0.0002500286
184,3,15,0.003200721
184,3,20,0.003200249
184,3,41,0.01025012
184,3,45,0.002559514
185,1,22,0.007500655
185,2,7,0.0002500286
185,3,15,0.003200731
185,3,20,0.003200273
185,3,41,0.01025008
185,3,45,0.002559515
186,1,22,0.007500652
186,2,7,0.0002500288
186,3,15,0.003200742
186,3,20,0.003200295
186,3,41,0.01025003
186,3,45,0.002559515
187,1,22,0.007500651
187,2,7,0.0002500291
187,3,15,0.003200752
187,3,20,0.003200313
187,3,41,0.01024997
187,3,45,0.002559513
188,1,22,0.007500652
188,2,7,0.0002500297
188,3,15,0.003200761
188,3,20,0.003200327
188,3,41,0.01024991
188,3,45,0.00255951
189,1,22,0.007500655
189,2,7,0.0002500305
