,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
54,Other prawns,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003644277,0,0,0,0,0.002383237,0.002505552,0,0.003133551,0,0.00010196,0,0.000949668,0.001472558,0,0,0,0,0,0,0,0,0,0.001147436,0,0,0,0,0,0,0,0.001137673,0.00091219,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Sea snails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001269361,0,0,0.00112453,0,0.009432037,0,0.01899335,0,0,0,0,0,0.001200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Black Mussel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Corals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101769,0,0,0.01183497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Ascidians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005178269,0,0,0,0,0,0,0,0.004406493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Sea Cucumbers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134003,0.000568058,0,0,0,0,0,0.005152598,0,0.01082767,0.000106993,0,0,0,0,0,0,0.001292514,0.001274188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Sand dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02102617,0,0.05302725,0.07346147,0.008373486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04387669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Sponges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101769,6.15E-05,4.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Bivalves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116078,0,0,0,0,0,0.001274618,0,0,0,0,0,0,0,0,0,0,8.49E-05,1.00E-05,0,0,0,0,0,0,0,0,0,0.000101769,0,9.12E-05,7.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Polychaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3039857,0.02398844,0.04653119,0.05302724,0,0.2114517,0.3424836,0,0,0.0514755,0.04716019,0.7338346,0.5997901,0,0.07524958,0.02393065,0.03544951,0.3516999,0.01713674,0.03784827,0.1840158,0,0,0,0,0,0,0,0,0.08567104,0.2035373,0.2479591,0.364876,0.2193834,0.03205454,0.000950525,0.02744475,9.68E-05,0,0.1052632,0.1052632,0.009900989,0,0,0,0,0,0,0,0,0,0,0,0
64,Bryozoans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001322875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Urchins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02278311,0.08228563,0.1039924,0.07368438,0.1140579,0.1137332,0.08357761,0,0.1686794,0.01094263,0,0.02023102,0.01899335,0.4240724,0.465346,0,0.2271019,0,0,0.08781522,0.07174418,0.1285683,0.1895227,0.1203049,0,0,0,0,0,0,0.02035373,0,0,0.01083595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.4376303,0,0,0,0,0,0,0,0.07202359,0,0.1492043,0.5659223,0,0,0,0,0,0,0.1172333,0,0,0,0,0,0,0.1853025,0.1853025,0.2779537,0.1392623,0.204521,0,0,0,0,0,0,0.09514757,0,0.03191181,0.09803922,0,0,0,0.04803494,0.1086853,0.1998802,0.1053741,0,0.0999002,0.0990099,0,0.1,0,0,0.000999001
67,Planktotrophic Larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001439076,0.1886408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000953889,0.000953889,0.000953889,0.000870389,0.0204521,0,0,0,0,0,0,0,0,0.000967025,0.01960784,0,0,0,0,0.01186521,0.000998403,0,0,0.000998004,0.00990099,0,0,0,0.1041667,0
68,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09948237,0,0,0.1886408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5559074,0.5559074,0.4632562,0.2953643,0.613563,0,0,0,0,0,0,0.4757378,0,9.67E-05,0.8823529,0,0,0,0.8646289,0.7607973,0.3997604,0,0,0.499501,0.5940594,0,0.6,0,0.6944445,0.3996004
69,Seagrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02984087,0,0,0,0,0,0,0,0,0.1751507,0,0,0,0,0,0,0,0,0,0,0,0.0610612,0.02426905,0.009163006,0,0,0,0,0.8218885,0,0,0,0,0,0,0,0.02107481,0,0,0,0.00098912,0,0,0,0
70,Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3503014,0,0,0,0,0,0,0,0,0,0,0.1969899,0.05088433,0.0122845,0.04581503,0,0,0,0,0.04834638,0,0.1052632,0.1052632,0.197822,0,0,0,0.05268704,0,0,0,0.009891197,0,0.4239534,0,0
71,Macroalgal Epiphytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08757534,0,0,0,0,0,0,0,0,0,0,0,0.05088433,0.0122845,0.01832601,0,0,0,0.0686119,0.04834638,0,0.1052632,0.1052632,0.296733,0,0,0,0,0.05,0,0,0.009793265,0,0.2119767,0,0
72,Microphytobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009163006,0,0,0,0,0,0,0.05263158,0.05263158,0.00098911,0,0,0,0.1053741,0.05,0,0,0.09793264,0,0.009009008,0,0
73,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2249059,0.296308,0,0.1223058,0.3498775,0.249166,0.456523,0.2109483,0.4532226,0.3516999,0,0.654956,0.6170886,0.4830717,0.7936096,0.5490254,0,0,0,0,0,0.3479829,0,0.2082856,0.5497804,0.6935449,0.1602727,0.428164,0.6861188,0.04834638,0,0.6315789,0.6315789,0.4945549,0.08733625,0.1186521,0.399361,0.71549,0.1,0.3996008,0.2970297,0.8813938,0.3,0.2649709,0,0
,Import,0.50924,0.6677864,0.2209309,0.2504522,0.7797567,0.5026194,0.4747785,0.536831,0.3689501,0,0.6492085,0.3327249,0,0.4053146,0.630785,0.3146711,0.7954087,0.7977126,0.6621682,0.570806,0.4321415,0.08996236,0.1186819,0,0.1223058,0,0.3139491,0,0.6328449,0.1876548,0.179367,0,0,0.1141115,0.3382111,0,0.3294153,0.2578362,0.2578362,0.2578362,0.5609632,0.161464,0.3693561,0.610612,0.4913799,0,0,0.8076728,0,0.2168105,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.09009009,0.2013889,0.5994006
,Sum,0.9999999,1,1,1,0.9999999,1,1,0.9999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9999999,1,1,1,1,1,1,0.9999999,1,1,1,1,1,1,0.9999999,1,1,0.9999999,1,1,1,1,0.9999999,1,1,1,0.9999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,(1 - Sum),1.19E-07,0,-1.19E-07,0,5.96E-08,-1.19E-07,0,2.38E-07,0,0,0,0,0,0,0,0,-1.19E-07,0,0,0,0,0,5.96E-08,0,0,0,0,0,0,5.96E-08,0,0,0,0,0,0,5.96E-08,0,0,1.19E-07,0,0,0,-1.19E-07,5.96E-08,0,0,0,1.19E-07,0,0,0,0,0,0,-1.19E-07,0,0,0,0,0,0,0,0,0,0,0
